feature,importance,fold
itm_pe_oi_z60,416.6548113822937,6
oi_ce_change_1,662.1475501060486,6
oi_pe_change_1,530.206148147583,6
nifty_vol_5,951.6058959960938,6
nifty_vol_15,937.9452652931213,6
atr_5,666.7072925567627,6
vol_regime,880.1061964035034,6
minute_of_day,3335.1559867858887,6
sin_md,638.6027002334595,6
cos_md,1048.2998986244202,6
atm_shift,0.0,6
mom_delta,496.36497926712036,6
mom_3_sum,824.4436635971069,6
atm_itm_ce_ratio,422.46428060531616,6
atm_itm_pe_ratio,346.89361238479614,6
above_breakout_15,0.0,6
below_breakout_15,0.0,6
nifty_ret_1_lag1,998.5520567893982,6
nifty_ret_1_lag2,503.53619050979614,6
nifty_ret_1_lag3,644.4484014511108,6
nifty_ret_3_lag1,1734.0025444030762,6
nifty_ret_3_lag2,914.6364092826843,6
nifty_ret_3_lag3,1251.2983012199402,6
ce_ret_1_lag1,318.8135404586792,6
ce_ret_1_lag2,432.7754907608032,6
ce_ret_1_lag3,272.290620803833,6
pe_ret_1_lag1,239.19712114334106,6
pe_ret_1_lag2,281.9427499771118,6
pe_ret_1_lag3,385.7939019203186,6
itm_ce_ret_1_lag1,375.14998960494995,6
itm_ce_ret_1_lag2,499.1095018386841,6
itm_ce_ret_1_lag3,397.6782298088074,6
itm_pe_ret_1_lag1,515.8249230384827,6
itm_pe_ret_1_lag2,329.8607997894287,6
itm_pe_ret_1_lag3,519.6377577781677,6
ce_pe_ratio_lag1,327.79416036605835,6
ce_pe_ratio_lag2,259.39106845855713,6
ce_pe_ratio_lag3,236.21108627319336,6
ce_minus_pe_lag1,429.1767873764038,6
ce_minus_pe_lag2,237.59511995315552,6
ce_minus_pe_lag3,327.2467713356018,6
atm_itm_spread_ce_lag1,341.54422998428345,6
atm_itm_spread_ce_lag2,430.49830961227417,6
atm_itm_spread_ce_lag3,304.17665910720825,6
atm_itm_spread_pe_lag1,422.16573095321655,6
atm_itm_spread_pe_lag2,348.6171808242798,6
atm_itm_spread_pe_lag3,332.8455400466919,6
atm_ce_oi_z60_lag1,473.890597820282,6
atm_ce_oi_z60_lag2,669.3467297554016,6
atm_ce_oi_z60_lag3,607.9171118736267,6
atm_pe_oi_z60_lag1,344.62583112716675,6
atm_pe_oi_z60_lag2,435.0345211029053,6
