option_type	strike	entry_time	entry_price	entry_spot	entry_fut	exit_time	exit_price	exit_reason	pnl_points	pnl_rupees	hold_minutes	is_winner	peak_price	expiry	capital_after
PE	25850	12/10/2025 11:18	107.3	25866.35	25970	12/10/2025 11:33	114.15	TRAILING_STOP	6.85	513.75	15	TRUE	117.2	12/16/2025	29796.25
PE	25800	12/10/2025 12:00	100	25824.4	25924	12/10/2025 12:06	91.6	STOP_LOSS	-8.4	-630	6	FALSE	108.9	12/16/2025	29166.25
PE	25850	12/10/2025 12:09	120.75	25834.05	25946	12/10/2025 12:30	137.95	TARGET	17.2	1290	21	TRUE	137.95	12/16/2025	30456.25
CE	25850	12/11/2025 9:27	108.05	25798.25	25915.6	12/11/2025 9:36	97.9	STOP_LOSS	-10.15	-761.25	9	FALSE	108.05	12/16/2025	29695
PE	25700	12/11/2025 9:39	95.9	25699.4	25811	12/11/2025 9:45	107.2	TARGET	11.3	847.5	6	TRUE	107.2	12/16/2025	30542.5
CE	25800	12/11/2025 10:03	104.5	25751.4	25874	12/11/2025 10:06	125.1	TARGET	20.6	1545	3	TRUE	125.1	12/16/2025	32087.5
CE	25850	12/11/2025 10:12	104.7	25807.55	25934	12/11/2025 10:15	127.3	TARGET	22.6	1695	3	TRUE	127.3	12/16/2025	33782.5
PE	25950	12/12/2025 10:06	61	25973.45	26075.6	12/12/2025 10:15	57.1	TRAILING_STOP	-3.9	-292.5	9	FALSE	69.5	12/16/2025	33490
PE	25950	12/12/2025 10:21	60.1	25971.65	26078	12/12/2025 10:24	84	TARGET	23.9	1792.5	3	TRUE	84	12/16/2025	35282.5
PE	25950	12/12/2025 10:48	77.2	25952.3	26055	12/12/2025 11:03	70.3	STOP_LOSS	-6.9	-517.5	15	FALSE	80.55	12/16/2025	34765
CE	26000	12/12/2025 11:21	107.65	26013	26115	12/12/2025 11:48	105.15	TRAILING_STOP	-2.5	-187.5	27	FALSE	111.65	12/16/2025	34577.5
CE	26000	12/12/2025 12:12	96.4	26014.2	26113.7	12/12/2025 12:24	107.1	TARGET	10.7	802.5	12	TRUE	107.1	12/16/2025	35380
CE	26050	12/12/2025 15:00	82.85	26044.65	26140.9	12/12/2025 15:15	77.7	STOP_LOSS	-5.15	-386.25	15	FALSE	85.2	12/16/2025	34993.75
CE	25950	12/15/2025 10:42	75.3	25968.15	26052.6	12/15/2025 10:48	90.9	TARGET	15.6	1170	6	TRUE	90.9	12/16/2025	36163.75
CE	26000	12/15/2025 11:27	62.6	25991.7	26075	12/15/2025 11:33	53.65	STOP_LOSS	-8.95	-671.25	6	FALSE	62.6	12/16/2025	35492.5
CE	26000	12/15/2025 11:48	61.65	25999.65	26087.9	12/15/2025 11:51	72.6	TARGET	10.95	821.25	3	TRUE	72.6	12/16/2025	36313.75
CE	26000	12/15/2025 12:06	82.9	26021.5	26109.8	12/15/2025 12:12	78.85	STOP_LOSS	-4.05	-303.75	6	FALSE	82.9	12/16/2025	36010
CE	26000	12/15/2025 12:48	75.4	26016.25	26104.8	12/15/2025 13:15	85.7	TARGET	10.3	772.5	27	TRUE	85.7	12/16/2025	36782.5
CE	26050	12/15/2025 14:00	49.3	26037	26122.3	12/15/2025 14:09	42.15	STOP_LOSS	-7.15	-536.25	9	FALSE	57.45	12/16/2025	36246.25
CE	26050	12/15/2025 14:42	48.9	26035.65	26124	12/15/2025 14:48	51.35	TRAILING_STOP	2.45	183.75	6	TRUE	54.65	12/16/2025	36430
PE	25950	12/16/2025 9:54	50.65	25924.6	26009.7	12/16/2025 10:00	75.75	TARGET	25.1	1882.5	6	TRUE	75.75	12/16/2025	38312.5
PE	25900	12/16/2025 10:54	35.5	25891.6	25978.7	12/16/2025 11:03	37.1	TRAILING_STOP	1.6	120	9	TRUE	41.4	12/16/2025	38432.5
CE	25950	12/17/2025 9:21	113.8	25909.95	25986	12/17/2025 9:24	126.3	TARGET	12.5	937.5	3	TRUE	126.3	12/23/2025	39370
CE	25950	12/17/2025 9:33	123.25	25926.05	26004	12/17/2025 9:42	118	STOP_LOSS	-5.25	-393.75	9	FALSE	125.05	12/23/2025	38976.25
PE	25850	12/17/2025 9:48	103.45	25861.7	25935	12/17/2025 10:06	121.45	TARGET	18	1350	18	TRUE	121.45	12/23/2025	40326.25
PE	25850	12/17/2025 10:21	116.75	25829.15	25900	12/17/2025 10:33	120.2	TRAILING_STOP	3.45	258.75	12	TRUE	124.35	12/23/2025	40585
PE	25750	12/18/2025 9:33	78.45	25771.65	25845	12/18/2025 9:42	89.45	TARGET	11	825	9	TRUE	89.45	12/23/2025	41410
CE	25800	12/18/2025 10:09	108.4	25782.4	25855	12/18/2025 10:12	121.25	TARGET	12.85	963.75	3	TRUE	121.25	12/23/2025	42373.75
CE	25800	12/18/2025 10:15	119.1	25811.75	25888.7	12/18/2025 10:18	136.75	TARGET	17.65	1323.75	3	TRUE	136.75	12/23/2025	43697.5
CE	25950	12/19/2025 10:15	90.1	25946.6	26005.8	12/19/2025 10:27	101.85	TARGET	11.75	881.25	12	TRUE	101.85	12/23/2025	44578.75
CE	25950	12/19/2025 10:42	107.6	25974.85	26036.6	12/19/2025 10:48	102.2	STOP_LOSS	-5.4	-405	6	FALSE	107.6	12/23/2025	44173.75
PE	25950	12/19/2025 11:27	82.65	25931.55	25985.5	12/19/2025 11:36	85.7	TRAILING_STOP	3.05	228.75	9	TRUE	89.85	12/23/2025	44402.5
PE	25900	12/19/2025 11:42	66.55	25913.4	25969	12/19/2025 11:48	70.15	TRAILING_STOP	3.6	270	6	TRUE	75.35	12/23/2025	44672.5
CE	25950	12/19/2025 13:30	85.9	25967.2	26011.9	12/19/2025 13:39	88.25	TRAILING_STOP	2.35	176.25	9	TRUE	93.45	12/23/2025	44848.75
CE	26150	12/22/2025 12:15	50.45	26145.65	26191.9	12/22/2025 12:33	51.2	TRAILING_STOP	0.75	56.25	18	TRUE	54.5	12/23/2025	44905
CE	26150	12/22/2025 12:51	47.15	26144.25	26187.1	12/22/2025 13:21	50.45	TIME_EXIT	3.3	247.5	30	TRUE	51.25	12/23/2025	45152.5
CE	26150	12/22/2025 14:12	48.8	26143.5	26190	12/22/2025 14:39	52.95	TRAILING_STOP	4.15	311.25	27	TRUE	56.5	12/23/2025	45463.75
CE	26200	12/22/2025 15:00	33.2	26176.45	26203.9	12/23/2025 9:21	29.95	TIME_EXIT	-3.25	-243.75	1101	FALSE	33.5	12/23/2025	45220
PE	26150	12/23/2025 9:30	48.05	26137.6	26184.5	12/23/2025 9:48	46.9	TRAILING_STOP	-1.15	-86.25	18	FALSE	56.9	12/23/2025	45133.75
CE	26150	12/23/2025 9:54	35.2	26161.6	26204.5	12/23/2025 9:57	45.95	TARGET	10.75	806.25	3	TRUE	45.95	12/23/2025	45940
CE	26150	12/23/2025 10:39	42.75	26176.55	26217.4	12/23/2025 10:48	45.85	TRAILING_STOP	3.1	232.5	9	TRUE	49.1	12/23/2025	46172.5
CE	26150	12/23/2025 11:51	35.9	26180.65	26214	12/23/2025 12:09	46.25	TARGET	10.35	776.25	18	TRUE	46.25	12/23/2025	46948.75
CE	26150	12/23/2025 14:36	56.1	26211.4	26244.2	12/23/2025 14:42	32.9	STOP_LOSS	-23.2	-1740	6	FALSE	56.1	12/23/2025	45208.75
CE	26200	12/24/2025 9:57	120.4	26221.85	26245.1	12/24/2025 10:15	134.55	TARGET	14.15	1061.25	18	TRUE	134.55	12/30/2025	46270
PE	26200	12/24/2025 11:00	78.45	26200.8	26223.2	12/24/2025 11:12	78	TRAILING_STOP	-0.45	-33.75	12	FALSE	83.05	12/30/2025	46236.25
PE	26200	12/24/2025 11:42	78.4	26185.45	26210.1	12/24/2025 11:57	82.3	TRAILING_STOP	3.9	292.5	15	TRUE	85.35	12/30/2025	46528.75
PE	26150	12/24/2025 14:48	74.7	26135.5	26167	12/24/2025 15:18	75.25	TIME_EXIT	0.55	41.25	30	TRUE	78.65	12/30/2025	46570
PE	26100	12/26/2025 9:30	60.75	26112.9	26122.5	12/26/2025 9:39	70.95	TARGET	10.2	765	9	TRUE	70.95	12/30/2025	47335
PE	26050	12/26/2025 12:30	56.65	26048.35	26064.3	12/26/2025 12:36	68.15	TARGET	11.5	862.5	6	TRUE	68.15	12/30/2025	48197.5
