Timestamp,Spot,RSI,ATM,PCR,CE_LTP,PE_LTP,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,Trade_PnL,Reason
14:14:13,26141.9,49,26150,1.48,49.35,57.75,228496,239208,0.4736,-0.5264,SCAN,0,Waiting
14:14:16,26142.0,49,26150,1.48,49.5,57.65,228496,239208,0.4736,-0.5264,SCAN,0,Waiting
14:14:20,26141.65,49,26150,1.48,49.6,57.75,228496,239208,0.4736,-0.5264,SCAN,0,Waiting
14:14:24,26142.15,49,26150,1.49,49.8,57.6,228496,239208,0.4758,-0.5242,SCAN,0,Waiting
14:14:28,26141.95,49,26150,1.49,49.9,57.5,226357,237690,0.4758,-0.5242,SCAN,0,Waiting
14:14:31,26142.4,49,26150,1.49,49.85,57.45,226357,237690,0.4768,-0.5232,SCAN,0,Waiting
14:14:37,26143.7,50,26150,1.49,49.95,57.35,226357,237690,0.4768,-0.5232,SCAN,0,Waiting
14:14:41,26143.9,50,26150,1.49,49.8,57.75,226357,237690,0.4768,-0.5232,SCAN,0,Waiting
14:14:46,26143.65,50,26150,1.49,49.75,57.65,226357,237690,0.4787,-0.5213,SCAN,0,Waiting
14:14:50,26143.4,51,26150,1.49,49.7,57.8,226357,237690,0.4787,-0.5213,SCAN,0,Waiting
14:14:55,26143.35,50,26150,1.49,49.75,57.9,226357,237690,0.4794,-0.5206,SCAN,0,Waiting
14:14:59,26142.8,50,26150,1.49,49.65,57.85,226357,237690,0.4794,-0.5206,SCAN,0,Waiting
14:15:09,26144.45,51,26150,1.49,49.7,58.05,226357,237690,0.4767,-0.5233,SCAN,0,Waiting
14:15:13,26143.55,51,26150,1.49,49.5,58.25,226357,237690,0.4767,-0.5233,SCAN,0,Waiting
14:15:19,26142.85,50,26150,1.49,49.5,58.15,226357,237690,0.4773,-0.5227,SCAN,0,Waiting
14:15:24,26143.7,51,26150,1.49,49.7,57.9,226357,237690,0.4773,-0.5227,SCAN,0,Waiting
14:15:30,26144.2,51,26150,1.49,49.75,57.7,226357,237690,0.4761,-0.5239,SCAN,0,Waiting
14:15:36,26144.3,51,26150,1.49,50.15,57.55,226357,237690,0.4761,-0.5239,SCAN,0,Waiting
14:15:43,26145.05,52,26150,1.49,50.6,56.7,226357,237690,0.4763,-0.5237,SCAN,0,Waiting
14:15:47,26143.45,51,26150,1.49,50.7,56.5,226357,237690,0.4763,-0.5237,SCAN,0,Waiting
14:15:54,26145.25,52,26150,1.49,50.6,56.75,226357,237690,0.481,-0.519,SCAN,0,Waiting
14:15:59,26144.5,51,26150,1.49,50.5,56.9,226357,237690,0.481,-0.519,SCAN,0,Waiting
14:16:03,26147.1,53,26150,1.49,50.75,56.85,226357,237690,0.4842,-0.5158,SCAN,0,Waiting
14:16:06,26146.15,52,26150,1.49,50.5,57.1,226357,237690,0.4842,-0.5158,SCAN,0,Waiting
14:16:10,26144.75,51,26150,1.49,50.5,56.95,226357,237690,0.4842,-0.5158,SCAN,0,Waiting
14:16:14,26145.9,52,26150,1.49,50.6,57,226357,237690,0.4829,-0.5171,SCAN,0,Waiting
14:16:18,26144.35,51,26150,1.49,49.9,57.45,226357,237690,0.4829,-0.5171,SCAN,0,Waiting
14:16:23,26142.2,50,26150,1.49,49.6,57.85,226357,237690,0.4823,-0.5177,SCAN,0,Waiting
14:16:27,26143.65,51,26150,1.49,49.55,57.95,226357,237690,0.4823,-0.5177,SCAN,0,Waiting
14:16:33,26142.45,50,26150,1.49,49.35,58,226357,237690,0.4823,-0.5177,SCAN,0,Waiting
14:16:36,26142.1,50,26150,1.49,49.6,57.85,226357,237690,0.4815,-0.5185,SCAN,0,Waiting
14:16:42,26143.4,51,26150,1.49,49.95,57.75,226357,237690,0.4815,-0.5185,SCAN,0,Waiting
14:16:45,26144.0,51,26150,1.49,49.75,57.7,226357,237690,0.4771,-0.5229,SCAN,0,Waiting
14:16:48,26145.05,52,26150,1.49,49.75,57.75,226357,237690,0.4771,-0.5229,SCAN,0,Waiting
14:16:52,26143.8,51,26150,1.49,49.55,57.85,226357,237690,0.4771,-0.5229,SCAN,0,Waiting
14:16:56,26144.4,51,26150,1.49,49.7,57.9,226357,237690,0.4788,-0.5212,SCAN,0,Waiting
14:17:00,26144.2,51,26150,1.49,49.65,57.85,226357,237690,0.4788,-0.5212,SCAN,0,Waiting
14:17:03,26143.65,51,26150,1.49,49.4,58,226357,237690,0.4788,-0.5212,SCAN,0,Waiting
14:17:08,26143.4,51,26150,1.49,49.5,58,226357,237690,0.4772,-0.5228,SCAN,0,Waiting
14:17:13,26143.05,50,26150,1.49,49.25,57.9,226357,237690,0.4772,-0.5228,SCAN,0,Waiting
14:17:18,26144.5,51,26150,1.49,49.2,58.1,226357,237690,0.4774,-0.5226,SCAN,0,Waiting
14:17:22,26141.6,49,26150,1.49,49,58.2,226357,237690,0.4774,-0.5226,SCAN,0,Waiting
14:17:25,26140.35,49,26150,1.49,48.95,58.2,226357,237690,0.4774,-0.5226,SCAN,0,Waiting
14:17:31,26139.95,48,26150,1.49,48.85,58.4,227616,238727,0.4764,-0.5236,SCAN,0,Waiting
14:17:35,26141.5,49,26150,1.49,48.95,58.4,227616,238727,0.4764,-0.5236,SCAN,0,Waiting
14:17:38,26141.7,49,26150,1.49,49,58.4,227616,238727,0.4764,-0.5236,SCAN,0,Waiting
14:17:42,26141.1,49,26150,1.49,48.95,58.35,227616,238727,0.4729,-0.5271,SCAN,0,Waiting
14:17:46,26141.3,49,26150,1.49,48.5,58.65,227616,238727,0.4729,-0.5271,SCAN,0,Waiting
14:17:50,26138.3,47,26150,1.49,48.1,58.75,227616,238727,0.4738,-0.5262,SCAN,0,Waiting
14:17:54,26137.9,47,26150,1.49,48.15,58.4,227616,238727,0.4738,-0.5262,SCAN,0,Waiting
14:18:00,26139.0,48,26150,1.49,48.3,58.6,227616,238727,0.4738,-0.5262,SCAN,0,Waiting
14:18:03,26138.45,47,26150,1.49,48.35,58.6,227616,238727,0.4721,-0.5279,SCAN,0,Waiting
14:18:11,26138.45,47,26150,1.49,48,58.8,227616,238727,0.4721,-0.5279,SCAN,0,Waiting
14:18:15,26137.6,47,26150,1.49,48.2,58.55,227616,238727,0.4712,-0.5288,SCAN,0,Waiting
14:18:18,26138.45,47,26150,1.49,48.3,58.6,227616,238727,0.4712,-0.5288,SCAN,0,Waiting
14:18:23,26137.35,47,26150,1.49,48.05,58.75,227616,238727,0.4705,-0.5295,SCAN,0,Waiting
