Date,Time,Type,ADX,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-11-07,14:05,PE,33.8,NSE-NIFTY-11Nov25-25450-PE,25469.6,75.0,75.9,67.5,17.5,14407.5,SL/TRAIL
2025-11-07,14:30,CE,28.0,NSE-NIFTY-11Nov25-25550-CE,25533.7,91.55,86.55,-375.0,-425.0,13982.5,SL/TRAIL
2025-11-10,12:15,PE,34.2,NSE-NIFTY-11Nov25-25600-PE,25623.1,51.1,46.1,-375.0,-425.0,13557.5,SL/TRAIL
2025-11-10,12:20,CE,33.2,NSE-NIFTY-11Nov25-25650-CE,25628.6,63.5,58.5,-375.0,-425.0,13132.5,SL/TRAIL
2025-11-10,13:20,PE,31.0,NSE-NIFTY-11Nov25-25650-PE,25634.0,68.5,68.6,7.5,-42.5,13090.0,SL/TRAIL
2025-11-10,14:25,CE,27.4,NSE-NIFTY-11Nov25-25650-CE,25643.4,62.3,57.3,-375.0,-425.0,12665.0,SL/TRAIL
2025-11-11,11:45,CE,59.6,NSE-NIFTY-11Nov25-25500-CE,25496.4,38.9,42.2,247.5,197.5,12862.5,SL/TRAIL
2025-11-11,14:10,CE,38.7,NSE-NIFTY-11Nov25-25650-CE,25660.9,30.05,25.05,-375.0,-425.0,12437.5,SL/TRAIL
2025-11-11,14:20,CE,38.2,NSE-NIFTY-11Nov25-25700-CE,25679.0,14.9,9.9,-375.0,-425.0,12012.5,SL/TRAIL
2025-11-11,14:55,CE,34.0,NSE-NIFTY-11Nov25-25700-CE,25680.8,6.4,6.75,26.25,-23.75,11988.75,SL/TRAIL
2025-11-12,12:10,CE,68.1,NSE-NIFTY-18Nov25-25900-CE,25899.5,158.0,153.0,-375.0,-425.0,11563.75,SL/TRAIL
2025-11-12,13:00,CE,63.5,NSE-NIFTY-18Nov25-25950-CE,25915.8,139.75,142.0,168.75,118.75,11682.5,SL/TRAIL
2025-11-12,13:40,CE,54.0,NSE-NIFTY-18Nov25-25950-CE,25926.4,139.8,134.8,-375.0,-425.0,11257.5,SL/TRAIL
2025-11-12,14:10,PE,44.3,NSE-NIFTY-18Nov25-25900-PE,25885.2,116.75,111.75,-375.0,-425.0,10832.5,SL/TRAIL
2025-11-17,10:30,PE,64.1,NSE-NIFTY-18Nov25-25950-PE,25940.0,75.55,70.55,-375.0,-425.0,10407.5,SL/TRAIL
2025-11-17,11:20,PE,43.6,NSE-NIFTY-18Nov25-25950-PE,25939.9,70.9,72.35,108.75,58.75,10466.25,SL/TRAIL
2025-11-17,11:55,CE,28.4,NSE-NIFTY-18Nov25-25950-CE,25955.7,94.65,102.9,618.75,568.75,11035.0,SL/TRAIL
2025-11-17,12:35,CE,27.4,NSE-NIFTY-18Nov25-26000-CE,25977.4,73.55,75.4,138.75,88.75,11123.75,SL/TRAIL
2025-11-18,11:05,CE,35.3,NSE-NIFTY-18Nov25-25950-CE,25927.4,36.05,31.05,-375.0,-425.0,10698.75,SL/TRAIL
2025-11-18,11:35,CE,25.7,NSE-NIFTY-18Nov25-25950-CE,25938.4,36.6,42.9,472.5,422.5,11121.25,SL/TRAIL
2025-11-19,11:15,PE,28.9,NSE-NIFTY-25Nov25-25950-PE,25927.2,145.8,140.8,-375.0,-425.0,10696.25,SL/TRAIL
2025-11-19,11:35,CE,25.8,NSE-NIFTY-25Nov25-26000-CE,25950.2,127.6,135.1,562.5,512.5,11208.75,SL/TRAIL
2025-11-19,13:35,PE,44.3,NSE-NIFTY-25Nov25-26000-PE,26002.9,127.75,122.75,-375.0,-425.0,10783.75,SL/TRAIL
