Date,Time,Type,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-12-05,12:05,CE,NSE-NIFTY-09Dec25-26250-CE,26139.4,49.6,51.25,123.75,73.75,4998.75,SL/TRAIL
2025-12-05,14:00,PE,NSE-NIFTY-09Dec25-26150-PE,26164.2,66.6,64.15,-183.75,-233.75,4765.0,SL/TRAIL
2025-12-05,14:35,PE,NSE-NIFTY-09Dec25-26100-PE,26152.4,49.4,53.35,296.25,246.25,5011.25,SL/TRAIL
2025-12-05,15:05,CE,NSE-NIFTY-09Dec25-26250-CE,26186.0,59.5,56.75,-206.25,-256.25,4755.0,SL/TRAIL
2025-12-08,10:35,PE,NSE-NIFTY-09Dec25-26050-PE,26085.8,45.2,43.95,-93.75,-143.75,4611.25,SL/TRAIL
2025-12-08,11:00,PE,NSE-NIFTY-09Dec25-26050-PE,26070.8,50.15,47.3,-213.75,-263.75,4347.5,SL/TRAIL
2025-12-08,11:55,PE,NSE-NIFTY-09Dec25-26050-PE,26061.7,47.25,46.8,-33.75,-83.75,4263.75,SL/TRAIL
2025-12-08,12:30,PE,NSE-NIFTY-09Dec25-26000-PE,26027.2,40.3,39.6,-52.5,-102.5,4161.25,SL/TRAIL
2025-12-08,13:20,PE,NSE-NIFTY-09Dec25-26000-PE,26004.4,45.6,59.7,1057.5,1007.5,5168.75,SL/TRAIL
2025-12-09,11:00,CE,NSE-NIFTY-09Dec25-25850-CE,25830.3,42.85,47.85,375.0,325.0,5493.75,SL/TRAIL
2025-12-09,12:00,CE,NSE-NIFTY-09Dec25-25850-CE,25863.5,51.3,56.7,405.0,355.0,5848.75,SL/TRAIL
2025-12-09,13:20,PE,NSE-NIFTY-09Dec25-25900-PE,25878.6,46.75,49.15,180.0,130.0,5978.75,SL/TRAIL
2025-12-09,13:25,CE,NSE-NIFTY-09Dec25-25900-CE,25879.6,23.05,25.3,168.75,118.75,6097.5,SL/TRAIL
2025-12-09,14:20,PE,NSE-NIFTY-09Dec25-25850-PE,25859.6,18.05,37.65,1470.0,1420.0,7517.5,SL/TRAIL
2025-12-10,10:55,PE,NSE-NIFTY-16Dec25-25800-PE,25859.8,89.15,96.7,566.25,516.25,8033.75,SL/TRAIL
2025-12-10,11:25,PE,NSE-NIFTY-16Dec25-25800-PE,25861.2,90.75,92.8,153.75,103.75,8137.5,SL/TRAIL
2025-12-10,13:20,CE,NSE-NIFTY-16Dec25-25900-CE,25827.4,105.45,103.65,-135.0,-185.0,7952.5,SL/TRAIL
2025-12-10,14:00,PE,NSE-NIFTY-16Dec25-25750-PE,25796.8,95.05,101.7,498.75,448.75,8401.25,SL/TRAIL
2025-12-10,14:55,PE,NSE-NIFTY-16Dec25-25750-PE,25746.9,111.05,109.8,-93.75,-143.75,8257.5,SL/TRAIL
2025-12-11,11:10,PE,NSE-NIFTY-16Dec25-25800-PE,25778.2,103.6,87.6,-1200.0,-1250.0,7007.5,SL/TRAIL
2025-12-11,11:20,CE,NSE-NIFTY-16Dec25-25900-CE,25813.6,92.45,91.3,-86.25,-136.25,6871.25,SL/TRAIL
2025-12-11,13:10,PE,NSE-NIFTY-16Dec25-25800-PE,25849.8,71.95,55.95,-1200.0,-1250.0,5621.25,SL/TRAIL
2025-12-11,14:15,PE,NSE-NIFTY-16Dec25-25800-PE,25863.2,65.6,49.6,-1200.0,-1250.0,4371.25,SL/TRAIL
2025-12-11,14:50,PE,NSE-NIFTY-16Dec25-25750-PE,25854.7,48.65,36.35,-922.5,-972.5,3398.75,EOD
2025-12-12,10:25,PE,NSE-NIFTY-16Dec25-25800-PE,25958.2,36.25,33.35,-217.5,-267.5,3131.25,SL/TRAIL
2025-12-12,11:15,CE,NSE-NIFTY-16Dec25-26150-CE,25991.7,38.85,39.35,37.5,-12.5,3118.75,SL/TRAIL
2025-12-12,12:55,CE,NSE-NIFTY-16Dec25-26150-CE,26022.6,40.0,37.25,-206.25,-256.25,2862.5,SL/TRAIL
2025-12-12,13:15,CE,NSE-NIFTY-16Dec25-26200-CE,26035.2,30.25,27.3,-221.25,-271.25,2591.25,SL/TRAIL
2025-12-12,14:45,PE,NSE-NIFTY-16Dec25-25900-PE,26027.2,31.7,22.7,-675.0,-725.0,1866.25,EOD
2025-12-15,11:30,CE,NSE-NIFTY-16Dec25-26150-CE,25991.2,16.25,16.1,-11.25,-61.25,1805.0,SL/TRAIL
2025-12-15,13:50,CE,NSE-NIFTY-16Dec25-26150-CE,26032.8,21.35,15.6,-431.25,-481.25,1323.75,EOD
2025-12-16,10:40,PE,NSE-NIFTY-16Dec25-25800-PE,25905.1,8.75,-0.95,-727.5,-777.5,546.25,EOD
