time,close_SPOT,EMA5_SPOT,EMA13_SPOT,close_FUT,VWAP_FUT,OI_RAW,OI_CHG,OPT_CLOSE,OPT_OI
2025-12-18 13:35:00,25857.1,25862.064968698305,25869.410583586825,25939.0,25908.32984022332,320906.0,160127.0,54.15,265991.0
2025-12-18 13:40:00,25844.55,25856.22664579887,25865.85907164585,25923.7,25908.41707573966,320876.0,-30.0,51.55,267170.0
2025-12-18 13:45:00,25848.2,25853.551097199248,25863.336347125012,25925.6,25908.62643166183,160473.0,-160403.0,52.3,135453.0
2025-12-18 13:50:00,25855.9,25854.3340647995,25862.274011821442,25938.0,25908.710499072567,320776.0,160303.0,54.3,270134.0
2025-12-18 13:55:00,25843.4,25850.689376533002,25859.57772441838,25920.2,25908.809873143215,320697.0,-79.0,48.9,271749.0
2025-12-18 14:00:00,25830.45,25843.94291768867,25855.416620930042,25909.9,25908.851993001972,160338.0,-160359.0,45.35,138303.0
2025-12-18 14:05:00,25815.55,25834.478611792445,25849.72138936861,25890.1,25908.689888364657,320646.0,160308.0,41.2,276933.0
2025-12-18 14:10:00,25805.25,25824.735741194967,25843.368333744525,25879.0,25908.226606853204,320718.0,72.0,39.65,285380.0
2025-12-18 14:15:00,25808.85,25819.44049412998,25838.437143209594,25880.8,25907.408402163226,160344.0,-160374.0,40.25,142638.0
2025-12-18 14:20:00,25781.3,25806.726996086654,25830.274694179654,25857.5,25906.734140798762,320882.0,160538.0,35.5,289786.0
2025-12-18 14:25:00,25789.55,25801.001330724437,25824.456880725418,25862.0,25906.06992752976,321555.0,673.0,36.85,293790.0
2025-12-18 14:30:00,25808.9,25803.63422048296,25822.234469193216,25875.2,25905.396034129535,161043.0,-160512.0,38.15,145635.0
2025-12-18 14:35:00,25792.25,25799.839480321978,25817.950973594187,25865.0,25905.01729247988,322401.0,161358.0,35.75,292378.0
2025-12-18 14:40:00,25792.55,25797.409653547988,25814.322263080736,25870.0,25904.876679912155,322754.0,353.0,37.2,294518.0
2025-12-18 14:45:00,25794.65,25796.489769031996,25811.51193978349,25870.7,25904.68040013448,161391.0,-161363.0,37.1,147008.0
2025-12-18 14:50:00,25789.65,25794.20984602133,25808.388805528706,25868.8,25904.079417079112,322752.0,161361.0,35.75,295453.0
2025-12-18 14:55:00,25786.05,25791.489897347554,25805.197547596035,25869.0,25903.720627673167,322629.0,-123.0,36.3,295086.0
2025-12-18 15:00:00,25823.65,25802.20993156504,25807.833612225175,25890.0,25903.337822924506,161481.0,-161148.0,40.9,147000.0
2025-12-18 15:05:00,25815.7,25806.706621043362,25808.957381907294,25886.8,25903.08672514054,323328.0,161847.0,40.85,290376.0
2025-12-18 15:10:00,25820.4,25811.271080695577,25810.592041634824,25885.0,25902.846584997216,323722.0,394.0,40.25,282486.0
2025-12-18 15:15:00,25818.45,25813.664053797052,25811.714607115562,25879.1,25902.357472802825,161820.0,-161902.0,40.15,141553.0
2025-12-18 15:20:00,25816.55,25814.626035864705,25812.405377527626,25875.1,25901.8725211413,161862.0,42.0,40.25,278980.0
2025-12-18 15:25:00,25815.65,25814.96735724314,25812.868895023683,25882.0,25901.050239398253,323483.0,161621.0,41.85,264780.0
2025-12-18 15:30:00,25815.55,25815.161571495424,25813.251910020303,25882.2,25901.048580119223,0.0,-323483.0,41.7,0.0
2025-12-19 09:00:00,25896.9,25842.407714330286,25825.20163716026,,,0.0,0.0,,
2025-12-19 09:05:00,25911.5,25865.438476220195,25837.529974708792,25965.0,25869.06122597079,160430.0,160430.0,,
2025-12-19 09:15:00,25925.1,25885.325650813465,25850.039978321824,25981.3,25878.88977156239,480978.0,320548.0,66.7,278256.0
2025-12-19 09:20:00,25944.3,25904.983767208978,25863.50569570442,25997.6,25882.522602233028,160204.0,-320774.0,70.7,154103.0
