Date,Time,Type,ORB_High,ORB_Low,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-11-24,14:05,PE,26134.2,26064.7,NSE-NIFTY-25Nov25-26050-PE,26051.2,64.1,65.65,116.25,66.25,9476.25,SL/TRAIL
2025-11-25,13:10,CE,25997.6,25924.6,NSE-NIFTY-25Nov25-26000-CE,26002.4,34.9,29.9,-375.0,-425.0,9051.25,SL/TRAIL
2025-11-25,13:25,CE,25997.6,25924.6,NSE-NIFTY-25Nov25-26000-CE,26000.1,32.6,41.65,678.75,628.75,9680.0,SL/TRAIL
2025-12-02,11:30,PE,26154.6,26070.9,NSE-NIFTY-02Dec25-26050-PE,26068.2,29.6,24.6,-375.0,-425.0,9255.0,SL/TRAIL
2025-12-02,11:45,PE,26154.6,26070.9,NSE-NIFTY-02Dec25-26050-PE,26063.3,30.25,25.25,-375.0,-425.0,8830.0,SL/TRAIL
2025-12-03,11:05,PE,26062.6,25922.0,NSE-NIFTY-09Dec25-25900-PE,25917.7,107.05,102.05,-375.0,-425.0,8405.0,SL/TRAIL
2025-12-03,13:50,PE,26062.6,25922.0,NSE-NIFTY-09Dec25-25900-PE,25909.6,103.5,98.5,-375.0,-425.0,7980.0,SL/TRAIL
2025-12-04,15:00,CE,26029.3,25940.1,NSE-NIFTY-09Dec25-26100-CE,26043.6,92.3,93.2,67.5,17.5,7997.5,SL/TRAIL
2025-12-09,12:10,CE,25889.8,25744.9,NSE-NIFTY-09Dec25-25900-CE,25890.2,40.4,40.55,11.25,-38.75,7958.75,SL/TRAIL
2025-12-09,12:25,CE,25889.8,25744.9,NSE-NIFTY-09Dec25-25900-CE,25923.1,60.8,55.8,-375.0,-425.0,7533.75,SL/TRAIL
2025-12-10,11:55,PE,25920.0,25833.8,NSE-NIFTY-16Dec25-25750-PE,25828.0,83.2,78.2,-375.0,-425.0,7108.75,SL/TRAIL
2025-12-10,12:15,PE,25920.0,25833.8,NSE-NIFTY-16Dec25-25750-PE,25830.7,82.4,82.7,22.5,-27.5,7081.25,SL/TRAIL
2025-12-11,11:20,CE,25802.8,25693.3,NSE-NIFTY-16Dec25-25900-CE,25813.6,92.45,94.3,138.75,88.75,7170.0,SL/TRAIL
2025-12-12,14:05,CE,26038.2,25964.9,NSE-NIFTY-16Dec25-26050-CE,26044.0,90.0,91.85,138.75,88.75,7258.75,SL/TRAIL
2025-12-12,15:05,CE,26038.2,25964.9,NSE-NIFTY-16Dec25-26050-CE,26041.8,83.0,83.35,26.25,-23.75,7235.0,SL/TRAIL
2025-12-15,11:55,CE,26004.0,25904.8,NSE-NIFTY-16Dec25-26000-CE,26007.8,76.5,81.15,348.75,298.75,7533.75,SL/TRAIL
2025-12-16,11:00,PE,25970.0,25902.3,NSE-NIFTY-16Dec25-25900-PE,25899.8,38.9,40.15,93.75,43.75,7577.5,SL/TRAIL
2025-12-16,11:15,PE,25970.0,25902.3,NSE-NIFTY-16Dec25-25900-PE,25898.2,37.85,32.85,-375.0,-425.0,7152.5,SL/TRAIL
