Timestamp,Nifty_Price,RSI,Status,Strike_Selected,CE_Price,PE_Price,Reason
2025-12-17 11:03:00,25823.4,32.333607230895225,SCAN,25800,0.0,0,Wait
2025-12-17 11:04:00,25822.25,32.333607230895225,SCAN,25800,0.0,0,Wait
2025-12-17 11:05:00,25824.95,35.664062499999304,SCAN,25800,0.0,0,Wait
2025-12-17 11:06:00,25827.3,35.664062499999304,SCAN,25850,0.0,0,Wait
2025-12-17 11:07:00,25835.2,35.664062499999304,SCAN,25850,0.0,0,Wait
2025-12-17 11:08:00,25833.4,35.664062499999304,SCAN,25850,0.0,0,Wait
2025-12-17 11:09:00,25831.55,35.664062499999304,SCAN,25850,0.0,0,Wait
2025-12-17 11:10:00,25832.25,48.44693701466685,SCAN,25850,0.0,0,Wait
2025-12-17 11:11:00,25831.45,48.44693701466685,SCAN,25850,0.0,0,Wait
2025-12-17 11:12:00,25835.65,48.44693701466685,SCAN,25850,0.0,0,Wait
2025-12-17 11:13:00,25838.45,48.44693701466685,SCAN,25850,0.0,0,Wait
2025-12-17 11:14:00,25842.05,48.44693701466685,SCAN,25850,0.0,0,Wait
2025-12-17 11:15:00,25848.6,50.58558558558527,SCAN,25850,0.0,0,Wait
2025-12-17 11:16:00,25848.75,50.58558558558527,SCAN,25850,0.0,0,Wait
2025-12-17 11:17:00,25849.85,50.58558558558527,SCAN,25850,0.0,0,Wait
2025-12-17 11:18:00,25842.25,50.58558558558527,SCAN,25850,0.0,0,Wait
2025-12-17 11:19:00,25839.7,50.58558558558527,SCAN,25850,0.0,0,Wait
2025-12-17 11:20:00,25832.15,45.07042253521055,SCAN,25850,0.0,0,Wait
2025-12-17 11:21:00,25836.05,45.07042253521055,SCAN,25850,0.0,0,Wait
2025-12-17 11:22:00,25834.9,45.07042253521055,SCAN,25850,0.0,0,Wait
2025-12-17 11:23:00,25826.6,45.07042253521055,SCAN,25850,0.0,0,Wait
2025-12-17 11:24:00,25828.25,45.07042253521055,SCAN,25850,0.0,0,Wait
2025-12-17 11:25:00,25825.05,36.581469648562575,SCAN,25850,0.0,0,Wait
2025-12-17 11:26:00,25822.8,36.581469648562575,SCAN,25800,0.0,0,Wait
2025-12-17 11:27:00,25820.5,36.581469648562575,SCAN,25800,0.0,0,Wait
2025-12-17 11:28:00,25815.75,36.581469648562575,SCAN,25800,0.0,0,Wait
2025-12-17 11:29:00,25815.15,36.581469648562575,SCAN,25800,0.0,0,Wait
2025-12-17 11:30:00,25810.3,43.86973180076498,SCAN,25800,0.0,0,Wait
2025-12-17 11:31:00,25822.55,43.86973180076498,SCAN,25800,0.0,0,Wait
2025-12-17 11:32:00,25813.0,43.86973180076498,SCAN,25800,0.0,0,Wait
2025-12-17 11:33:00,25813.5,43.86973180076498,SCAN,25800,0.0,0,Wait
2025-12-17 11:34:00,25813.6,43.86973180076498,SCAN,25800,0.0,0,Wait
2025-12-17 11:35:00,25814.75,53.8732394366182,SCAN,25800,0.0,0,Wait
