Timestamp,Strike,Type,Symbol,LTP,OI,OI_Change,Volume,Delta,Gamma,Theta,Vega,IV
2025-12-24 11:43:32,25850.0,PE,NIFTY25DEC25850PE,11.15,35110,0,138211,-0.0869,0.0006,-3.5643,5.3875,8.1467
2025-12-24 11:43:32,25900.0,CE,NIFTY25DEC25900CE,335.9,17444,0,22495,0.89,0.0007,-4.0644,6.4026,7.817
2025-12-24 11:43:32,25900.0,PE,NIFTY25DEC25900PE,14.65,83195,0,256583,-0.11,0.0007,-4.0644,6.4026,7.817
2025-12-24 11:43:32,25950.0,CE,NIFTY25DEC25950CE,290,4875,0,12930,0.8576,0.0009,-4.7118,7.664,7.5706
2025-12-24 11:43:32,25950.0,PE,NIFTY25DEC25950PE,19.35,40984,0,203590,-0.1424,0.0009,-4.7118,7.664,7.5706
2025-12-24 11:43:32,26000.0,CE,NIFTY25DEC26000CE,247.3,95419,0,154571,0.8136,0.0011,-5.5027,9.1299,7.4217
2025-12-24 11:43:32,26000.0,PE,NIFTY25DEC26000PE,26.1,209201,0,540400,-0.1864,0.0011,-5.5027,9.1299,7.4217
2025-12-24 11:43:32,26050.0,CE,NIFTY25DEC26050CE,205.9,10457,0,73981,0.7624,0.0013,-6.1446,10.5258,7.1884
2025-12-24 11:43:32,26050.0,PE,NIFTY25DEC26050PE,34.9,47776,0,280784,-0.2376,0.0013,-6.1446,10.5258,7.1884
2025-12-24 11:43:32,26100.0,CE,NIFTY25DEC26100CE,167.7,53899,0,405980,0.698,0.0015,-6.7934,11.8727,7.0459
2025-12-24 11:43:32,26100.0,PE,NIFTY25DEC26100PE,47,129486,0,620132,-0.302,0.0015,-6.7934,11.8727,7.0459
2025-12-24 11:43:32,26150.0,CE,NIFTY25DEC26150CE,133.2,42365,0,540198,0.6236,0.0016,-7.2615,12.9249,6.9182
2025-12-24 11:43:32,26150.0,PE,NIFTY25DEC26150PE,62.4,99387,0,713595,-0.3764,0.0016,-7.2615,12.9249,6.9182
2025-12-24 11:43:32,26200.0,CE,NIFTY25DEC26200CE,102.7,182796,0,1640450,0.5415,0.0017,-7.4435,13.509,6.785
2025-12-24 11:43:32,26200.0,PE,NIFTY25DEC26200PE,82.05,238356,0,1698576,-0.4585,0.0017,-7.4435,13.509,6.785
2025-12-24 11:43:32,26250.0,CE,NIFTY25DEC26250CE,76.55,93671,0,1022227,0.4545,0.0017,-7.3131,13.4942,6.6734
2025-12-24 11:43:32,26250.0,PE,NIFTY25DEC26250PE,105.9,69161,0,762599,-0.5455,0.0017,-7.3131,13.4942,6.6734
2025-12-24 11:43:32,26300.0,CE,NIFTY25DEC26300CE,55.35,138249,0,891129,0.3673,0.0017,-6.8449,12.8237,6.5728
2025-12-24 11:43:32,26300.0,PE,NIFTY25DEC26300PE,134.7,67061,0,557630,-0.6327,0.0017,-6.8449,12.8237,6.5728
2025-12-24 11:43:32,26350.0,CE,NIFTY25DEC26350CE,38.45,66262,0,449322,0.2849,0.0015,-6.0978,11.5571,6.4971
2025-12-24 11:43:32,26350.0,PE,NIFTY25DEC26350PE,168.2,18476,0,134800,-0.7151,0.0015,-6.0978,11.5571,6.4971
2025-12-24 11:43:32,26400.0,CE,NIFTY25DEC26400CE,26.45,91223,0,515719,0.214,0.0013,-5.2383,9.9218,6.5013
