option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
CE,26300,2025-12-01 09:36:00,84.55,26308.95,26474.9,2025-12-01 09:48:00,80.65,STOP_LOSS,-3.9,-292.5,43.02,-335.52,12.0,False,87.5,2025-12-02,-1.0,2025-12-01 09:33:00,180.0,8520.809999999998
PE,26250,2025-12-01 10:27:00,54.7,26281.1,26453.7,2025-12-01 10:36:00,51.05,STOP_LOSS,-3.65,-273.75,41.91,-315.66,9.0,False,54.7,2025-12-02,-1.0,2025-12-01 10:24:00,180.0,8205.149999999998
PE,26250,2025-12-01 10:45:00,60.8,26254.25,26425.0,2025-12-01 11:12:00,66.45,TARGET,5.65,423.75,42.49,381.26,27.0,True,72.85,2025-12-02,-0.5,2025-12-01 10:42:00,180.0,8586.409999999998
PE,26200,2025-12-01 11:45:00,64.9,26182.0,26342.7,2025-12-01 12:00:00,59.1,STOP_LOSS,-5.8,-435.0,42.22,-477.22,15.0,False,69.4,2025-12-02,-1.0,2025-12-01 11:42:00,180.0,8109.189999999998
PE,26200,2025-12-01 12:06:00,71.75,26188.3,26353.6,2025-12-01 12:15:00,79.25,TRAILING_STOP,7.5,562.5,42.97,519.53,9.0,True,80.35,2025-12-02,-0.75,2025-12-01 12:03:00,180.0,8628.719999999998
PE,26150,2025-12-01 12:21:00,59.05,26178.25,26340.1,2025-12-01 12:27:00,52.25,STOP_LOSS,-6.8,-510.0,41.96,-551.96,6.0,False,59.05,2025-12-02,-1.0,2025-12-01 12:18:00,180.0,8076.7599999999975
PE,26150,2025-12-01 12:33:00,63.5,26164.95,26329.5,2025-12-01 12:54:00,53.7,STOP_LOSS,-9.8,-735.0,42.01,-777.01,21.0,False,63.5,2025-12-02,-1.0,2025-12-01 12:30:00,180.0,7299.749999999997
PE,26150,2025-12-02 09:30:00,64.35,26132.0,26298.0,2025-12-02 09:36:00,59.6,STOP_LOSS,-4.75,-356.25,42.23,-398.48,6.0,False,64.35,2025-12-02,-1.0,2025-12-02 09:27:00,180.0,6901.269999999997
PE,26100,2025-12-02 09:45:00,50.65,26094.2,26266.8,2025-12-02 09:57:00,52.5,TRAILING_STOP,1.85,138.75,41.97,96.78,12.0,True,60.5,2025-12-02,-0.75,2025-12-02 09:42:00,180.0,6998.0499999999965
PE,26050,2025-12-02 10:03:00,35.0,26080.1,26245.1,2025-12-02 10:24:00,31.6,TRAILING_STOP,-3.4,-255.0,41.19,-296.18,21.0,False,40.65,2025-12-02,-0.75,2025-12-02 10:00:00,180.0,6701.869999999996
PE,26100,2025-12-02 10:48:00,51.9,26090.15,26256.0,2025-12-02 10:54:00,39.1,STOP_LOSS,-12.8,-960.0,41.47,-1001.47,6.0,False,51.9,2025-12-02,-1.0,2025-12-02 10:45:00,180.0,5700.399999999996
PE,25950,2025-12-03 09:33:00,119.9,25935.5,26094.8,2025-12-03 09:45:00,120.0,STOP_LOSS,0.1,7.5,44.5,-37.0,12.0,False,127.05,2025-12-09,-1.0,2025-12-03 09:30:00,180.0,5663.399999999996
PE,25950,2025-12-03 09:54:00,122.3,25946.05,26099.0,2025-12-03 10:09:00,133.75,TARGET,11.45,858.75,45.02,813.73,15.0,True,133.6,2025-12-09,-0.5,2025-12-03 09:51:00,180.0,6477.129999999996
PE,25900,2025-12-03 10:18:00,111.7,25922.55,26081.3,2025-12-03 10:24:00,102.3,STOP_LOSS,-9.4,-705.0,43.84,-748.84,6.0,False,111.7,2025-12-09,-1.0,2025-12-03 10:15:00,180.0,5728.289999999995
PE,25900,2025-12-03 10:30:00,107.05,25922.65,26071.5,2025-12-03 10:48:00,108.55,TRAILING_STOP,1.5,112.5,44.07,68.43,18.0,True,112.65,2025-12-09,-0.75,2025-12-03 10:27:00,180.0,5796.719999999996
PE,25900,2025-12-03 11:06:00,107.45,25917.75,26073.1,2025-12-03 11:30:00,105.65,TRAILING_STOP,-1.8,-135.0,43.96,-178.96,24.0,False,113.65,2025-12-09,-0.75,2025-12-03 11:03:00,180.0,5617.759999999996
CE,26050,2025-12-03 12:24:00,104.3,25957.0,26111.0,2025-12-03 12:33:00,97.0,STOP_LOSS,-7.3,-547.5,43.64,-591.14,9.0,False,104.3,2025-12-09,-1.0,2025-12-03 12:21:00,180.0,5026.619999999995
PE,25950,2025-12-03 12:42:00,122.45,25922.9,26080.0,2025-12-03 12:57:00,118.5,STOP_LOSS,-3.95,-296.25,44.44,-340.69,15.0,False,122.45,2025-12-09,-1.0,2025-12-03 12:39:00,180.0,4685.929999999996
CE,26050,2025-12-04 09:27:00,102.0,25995.85,26135.8,2025-12-04 09:39:00,107.55,TARGET,5.55,416.25,44.03,372.22,12.0,True,113.8,2025-12-09,-0.5,2025-12-04 09:24:00,180.0,5058.149999999996
CE,26050,2025-12-04 09:45:00,115.3,26021.05,26160.0,2025-12-04 10:18:00,121.85,TIME_EXIT,6.55,491.25,44.57,446.68,33.0,True,122.8,2025-12-09,-0.75,2025-12-04 09:42:00,180.0,5504.829999999996
CE,26100,2025-12-04 10:24:00,102.7,26056.0,26194.0,2025-12-04 10:33:00,117.55,TARGET,14.85,1113.75,44.41,1069.34,9.0,True,116.25,2025-12-09,-0.5,2025-12-04 10:21:00,180.0,6574.169999999996
CE,26150,2025-12-04 10:39:00,99.1,26093.2,26239.0,2025-12-04 10:57:00,95.85,STOP_LOSS,-3.25,-243.75,43.59,-287.34,18.0,False,102.4,2025-12-09,-1.0,2025-12-04 10:36:00,180.0,6286.829999999996
CE,26100,2025-12-04 11:03:00,120.55,26082.95,26231.1,2025-12-04 11:12:00,110.1,STOP_LOSS,-10.45,-783.75,44.13,-827.88,9.0,False,121.9,2025-12-09,-1.0,2025-12-04 11:00:00,180.0,5458.949999999996
PE,26050,2025-12-04 11:42:00,109.05,26028.8,26161.2,2025-12-04 11:51:00,107.9,TRAILING_STOP,-1.15,-86.25,44.05,-130.3,9.0,False,115.6,2025-12-09,-0.75,2025-12-04 11:39:00,180.0,5328.649999999996
PE,26000,2025-12-04 12:00:00,87.45,26024.6,26164.0,2025-12-04 12:06:00,79.6,STOP_LOSS,-7.85,-588.75,42.98,-631.74,6.0,False,87.45,2025-12-09,-1.0,2025-12-04 11:57:00,180.0,4696.909999999996
PE,26050,2025-12-04 12:15:00,111.0,26023.0,26165.0,2025-12-04 12:30:00,105.0,STOP_LOSS,-6.0,-450.0,43.94,-493.94,15.0,False,113.4,2025-12-09,-1.0,2025-12-04 12:12:00,180.0,4202.969999999997
PE,26000,2025-12-04 12:42:00,89.1,26009.55,26145.0,2025-12-04 12:48:00,97.95,TARGET,8.85,663.75,43.67,620.08,6.0,True,99.8,2025-12-09,-0.5,2025-12-04 12:39:00,180.0,4823.0499999999965
PE,26000,2025-12-04 12:54:00,100.15,26005.95,26140.0,2025-12-04 13:00:00,94.15,STOP_LOSS,-6.0,-450.0,43.53,-493.53,6.0,False,100.15,2025-12-09,-1.0,2025-12-04 12:51:00,180.0,4329.519999999997
PE,26000,2025-12-04 13:06:00,93.65,25999.95,26142.2,2025-12-04 13:27:00,83.4,STOP_LOSS,-10.25,-768.75,43.13,-811.88,21.0,False,97.25,2025-12-09,-1.0,2025-12-04 13:03:00,180.0,3517.6399999999967
CE,26050,2025-12-05 09:36:00,108.15,26033.55,26175.4,2025-12-05 09:51:00,111.55,TARGET,3.4,255.0,44.18,210.82,15.0,True,120.0,2025-12-09,-0.5,2025-12-05 09:33:00,180.0,3728.459999999997
PE,26000,2025-12-05 10:00:00,80.2,26026.65,26170.8,2025-12-05 10:06:00,42.35,STOP_LOSS,-37.85,-2838.75,41.59,-2880.34,6.0,False,80.2,2025-12-09,-1.0,2025-12-05 09:57:00,180.0,848.1199999999967
PE,26150,2025-12-08 09:27:00,70.55,26140.6,26283.0,2025-12-08 09:33:00,63.5,STOP_LOSS,-7.05,-528.75,42.38,-571.13,6.0,False,70.55,2025-12-09,-1.0,2025-12-08 09:24:00,180.0,276.9899999999967
PE,26100,2025-12-08 09:42:00,51.15,26130.35,26280.0,2025-12-08 09:54:00,67.6,TARGET,16.45,1233.75,42.53,1191.21,12.0,True,62.25,2025-12-09,-0.5,2025-12-08 09:39:00,180.0,1468.1999999999966
