timestamp,nifty_ltp,expiry,atm_strike,ce_symbol,pe_symbol,atm_ce_ltp,atm_pe_ltp,open,high,low,close
2025-11-14 11:18:00,25827.75,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,124.25,107.8,25842.45,25844.0,25827.15,25827.75
2025-11-14 11:19:00,25821.95,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,153.6,88.75,25826.8,25826.8,25814.95,25821.95
2025-11-14 11:20:00,25824.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,157.9,87.0,25821.65,25827.75,25819.8,25824.9
2025-11-14 11:21:00,25822.75,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,154.0,89.95,25825.5,25828.0,25822.5,25822.75
2025-11-14 11:22:00,25817.55,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,157.1,88.4,25821.8,25822.55,25813.95,25817.55
2025-11-14 11:23:00,25821.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,159.25,86.7,25818.0,25822.6,25816.85,25821.6
2025-11-14 11:24:00,25818.4,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,153.85,89.9,25821.55,25822.45,25816.4,25818.4
2025-11-14 11:25:00,25816.95,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,153.4,90.15,25818.3,25818.55,25814.55,25816.95
2025-11-14 11:26:00,25818.4,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,156.55,88.3,25816.55,25819.2,25815.5,25818.4
2025-11-14 11:27:00,25815.95,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,153.3,90.35,25818.2,25818.8,25813.15,25815.95
2025-11-14 11:28:00,25817.1,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,156.65,87.2,25815.15,25818.0,25814.1,25817.1
2025-11-14 11:29:00,25815.2,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,152.15,89.85,25817.45,25821.9,25814.65,25815.2
2025-11-14 11:30:00,25819.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,156.75,86.7,25815.2,25821.15,25813.9,25819.9
2025-11-14 11:31:00,25814.05,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,147.45,92.4,25819.25,25821.6,25813.45,25814.05
2025-11-14 11:32:00,25812.4,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,149.75,90.45,25814.3,25814.3,25809.3,25812.4
2025-11-14 11:33:00,25800.0,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,137.4,99.8,25812.55,25814.65,25800.0,25800.0
2025-11-14 11:34:00,25808.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,147.55,90.95,25800.2,25809.95,25799.1,25808.6
2025-11-14 11:35:00,25807.5,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,147.4,92.05,25808.5,25811.2,25806.8,25807.5
2025-11-14 11:36:00,25807.5,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,149.2,91.15,25807.1,25809.65,25804.45,25807.5
2025-11-14 11:37:00,25814.05,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,155.55,86.4,25806.9,25815.15,25806.9,25814.05
2025-11-14 11:38:00,25805.25,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.8,95.6,25814.3,25814.95,25804.85,25805.25
2025-11-14 11:39:00,25801.15,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.7,96.0,25804.1,25804.9,25799.05,25801.15
2025-11-14 11:40:00,25803.2,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,145.0,94.4,25800.85,25805.9,25800.85,25803.2
2025-11-14 11:41:00,25802.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,145.85,93.85,25803.6,25804.2,25799.85,25802.6
2025-11-14 11:42:00,25793.65,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,135.6,104.7,25802.5,25804.6,25793.65,25793.65
2025-11-14 11:43:00,25787.65,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,134.25,106.0,25791.25,25791.65,25786.15,25787.65
2025-11-14 11:44:00,25789.95,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,136.1,103.9,25786.5,25791.05,25786.2,25789.95
2025-11-14 11:45:00,25799.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.8,96.25,25789.1,25800.35,25788.9,25799.6
2025-11-14 11:46:00,25796.25,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.2,97.55,25799.35,25800.0,25795.8,25796.25
2025-11-14 11:47:00,25798.8,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.8,97.55,25796.5,25805.75,25792.2,25798.8
2025-11-14 11:48:00,25798.3,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.85,96.7,25798.75,25800.45,25793.5,25798.3
2025-11-14 11:49:00,25798.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,144.35,96.35,25798.55,25800.15,25796.45,25798.9
2025-11-14 11:50:00,25802.4,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,146.7,94.6,25798.45,25804.5,25797.0,25802.4
2025-11-14 11:51:00,25801.35,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,147.7,93.8,25802.35,25803.55,25797.65,25801.35
2025-11-14 11:52:00,25802.55,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,144.3,95.3,25801.2,25809.05,25801.0,25802.55
2025-11-14 11:53:00,25798.2,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.85,98.2,25801.85,25804.75,25797.9,25798.2
