Timestamp,Spot_LTP,Fut_LTP,Fut_Open,Fut_High,Fut_Low,RSI,RSI_Ready,VWAP,EMA5,EMA13,Candle_Body,Candle_Green,ATM_Strike,PCR,Total_CE_OI,Total_PE_OI,CE_Symbol,CE_Strike,CE_LTP,CE_OI,CE_Delta,CE_Gamma,CE_Theta,CE_Vega,CE_IV,PE_Symbol,PE_Strike,PE_LTP,PE_OI,PE_Delta,PE_Gamma,PE_Theta,PE_Vega,PE_IV
10:24:56,26010.9,26177.0,26177.0,26178.0,26172.0,68.2,True,26161.61,26009.5,26004.67,0.0,False,26000,0.81,1967979,1596673,NIFTY2610626000CE,26000,134.95,217049,0.5937,0.0015,-7.9587,13.1821,7.5,NIFTY2610626000PE,26000,73.4,222479,-0.4063,0.0015,-7.9587,13.1821,7.5
10:25:10,26010.5,26179.0,26176.0,26179.0,26175.4,67.3,True,26161.64,26009.83,26005.5,3.0,True,26000,0.81,1967979,1597536,NIFTY2610626000CE,26000,134.45,217049,0.597,0.0015,-7.9316,13.1551,7.49,NIFTY2610626000PE,26000,74.1,222479,-0.403,0.0015,-7.9316,13.1551,7.49
10:25:27,26010.5,26172.8,26176.0,26179.0,26172.8,67.3,True,26161.65,26009.83,26005.5,3.2,False,26000,0.81,1967996,1597531,NIFTY2610626000CE,26000,133.7,217049,0.5973,0.0015,-7.9327,13.1529,7.49,NIFTY2610626000PE,26000,74.75,222479,-0.4027,0.0015,-7.9327,13.1529,7.49
10:25:41,26009.25,26172.0,26176.0,26179.0,26172.0,64.9,True,26161.66,26009.42,26005.33,4.0,False,26000,0.81,1967962,1597532,NIFTY2610626000CE,26000,133.2,217049,0.5973,0.0015,-7.9327,13.1529,7.49,NIFTY2610626000PE,26000,75.05,222479,-0.4027,0.0015,-7.9327,13.1529,7.49
10:25:55,26011.05,26177.0,26176.0,26179.0,26172.0,68.3,True,26161.67,26010.02,26005.58,1.0,True,26000,0.81,1968009,1597535,NIFTY2610626000CE,26000,132.95,217049,0.5937,0.0015,-7.9595,13.1814,7.5,NIFTY2610626000PE,26000,75.4,222479,-0.4063,0.0015,-7.9595,13.1814,7.5
10:26:09,26011.0,26178.0,26172.0,26178.0,26170.0,68.2,True,26161.69,26010.34,26006.36,6.0,True,26000,0.81,1968013,1597534,NIFTY2610626000CE,26000,132.5,217049,0.5929,0.0015,-7.9693,13.1864,7.51,NIFTY2610626000PE,26000,75.5,222479,-0.4071,0.0015,-7.9693,13.1864,7.51
10:26:22,26013.25,26178.1,26172.0,26179.0,26170.0,70.5,True,26161.74,26011.09,26006.68,6.1,True,26000,0.81,1968013,1597534,NIFTY2610626000CE,26000,134.85,217049,0.592,0.0015,-7.9641,13.1931,7.5,NIFTY2610626000PE,26000,74.05,222479,-0.408,0.0015,-7.9641,13.1931,7.5
10:26:37,26010.95,26173.3,26172.0,26179.0,26170.0,68.1,True,26161.73,26010.33,26006.35,1.3,True,26000,0.81,1968013,1597311,NIFTY2610626000CE,26000,133.6,217049,0.5958,0.0015,-7.9532,13.1637,7.5,NIFTY2610626000PE,26000,74.95,222479,-0.4042,0.0015,-7.9532,13.1637,7.5
10:26:53,26009.55,26179.2,26172.0,26179.9,26170.0,65.1,True,26161.77,26009.86,26006.15,7.2,True,26000,0.81,1968013,1597311,NIFTY2610626000CE,26000,134.6,217049,0.5942,0.0015,-7.9461,13.1766,7.49,NIFTY2610626000PE,26000,74.1,222479,-0.4058,0.0015,-7.9461,13.1766,7.49
10:27:07,26012.05,26173.5,26178.8,26180.0,26173.1,67.8,True,26161.8,26010.59,26006.99,5.3,False,26000,0.81,1968013,1597311,NIFTY2610626000CE,26000,134.65,217049,0.5962,0.0015,-7.9468,13.16,7.5,NIFTY2610626000PE,26000,74.25,222479,-0.4038,0.0015,-7.9468,13.16,7.5
10:27:21,26011.8,26175.0,26178.8,26180.0,26173.1,67.6,True,26161.82,26010.51,26006.96,3.8,False,26000,0.81,1968013,1597311,NIFTY2610626000CE,26000,134.05,217049,0.5962,0.0015,-7.9468,13.16,7.5,NIFTY2610626000PE,26000,74.5,222479,-0.4038,0.0015,-7.9468,13.16,7.5
10:27:36,26010.2,26175.0,26178.8,26180.0,26173.1,65.9,True,26161.84,26009.97,26006.73,3.8,False,26000,0.81,1968013,1597311,NIFTY2610626000CE,26000,134.25,217049,0.5948,0.0015,-7.9507,13.1712,7.5,NIFTY2610626000PE,26000,74.45,222479,-0.4052,0.0015,-7.9507,13.1712,7.5
10:27:49,26010.65,26173.0,26178.8,26180.0,26173.0,66.4,True,26161.87,26010.12,26006.79,5.8,False,26000,0.82,1966963,1616086,NIFTY2610626000CE,26000,134.45,215305,0.5937,0.0015,-7.9571,13.1796,7.5,NIFTY2610626000PE,26000,74.05,227466,-0.4063,0.0015,-7.9571,13.1796,7.5
10:28:03,26013.3,26175.2,26176.0,26179.5,26173.1,69.2,True,26161.92,26011.18,26007.72,0.8,False,26000,0.82,1966903,1616516,NIFTY2610626000CE,26000,135.4,215305,0.5961,0.0015,-7.9351,13.1599,7.49,NIFTY2610626000PE,26000,73.4,227466,-0.4039,0.0015,-7.9351,13.1599,7.49
10:28:19,26014.55,26175.3,26176.0,26180.0,26173.1,70.4,True,26161.96,26011.6,26007.9,0.7,False,26000,0.82,1966915,1616633,NIFTY2610626000CE,26000,135,215305,0.6005,0.0015,-7.9134,13.1246,7.49,NIFTY2610626000PE,26000,73.7,227466,-0.3995,0.0015,-7.9134,13.1246,7.49
10:28:34,26012.2,26175.3,26176.0,26180.0,26173.1,68.1,True,26161.99,26010.82,26007.56,0.7,False,26000,0.82,1966980,1616642,NIFTY2610626000CE,26000,135.4,215305,0.5962,0.0015,-7.9575,13.1596,7.51,NIFTY2610626000PE,26000,74,227466,-0.4038,0.0015,-7.9575,13.1596,7.51
