option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
PE,26200,2025-12-01 13:25:00,81.6,26173.6,26333.6,2025-12-01 13:40:00,68.5,STOP_LOSS,-13.1,-982.5,42.57,-1025.07,15.0,False,81.6,2025-12-02,-1.0,2025-12-01 13:20:00,300.0,4635.519999999999
PE,26150,2025-12-02 09:30:00,64.35,26114.9,26283.0,2025-12-02 09:50:00,92.75,TARGET,28.4,2130.0,43.48,2086.52,20.0,True,79.3,2025-12-02,-0.5,2025-12-02 09:25:00,300.0,6722.039999999999
PE,26000,2025-12-03 09:25:00,110.4,25963.05,26115.0,2025-12-03 09:35:00,145.9,TARGET,35.5,2662.5,45.47,2617.03,10.0,True,130.8,2025-12-09,-0.5,2025-12-03 09:20:00,300.0,9339.07
CE,26000,2025-12-04 09:25:00,121.0,25995.85,26135.8,2025-12-04 09:40:00,128.75,TARGET,7.75,581.25,44.83,536.42,15.0,True,139.95,2025-12-09,-0.5,2025-12-04 09:20:00,300.0,9875.49
CE,26050,2025-12-04 09:55:00,119.65,26028.3,26160.3,2025-12-04 10:10:00,114.9,STOP_LOSS,-4.75,-356.25,44.31,-400.56,15.0,False,119.65,2025-12-09,-1.0,2025-12-04 09:50:00,300.0,9474.93
PE,26050,2025-12-04 11:40:00,101.7,26028.8,26161.2,2025-12-04 11:50:00,105.7,TARGET,4.0,300.0,43.96,256.04,10.0,True,115.6,2025-12-09,-0.5,2025-12-04 11:35:00,300.0,9730.970000000001
PE,26000,2025-12-04 12:20:00,93.0,26019.5,26156.0,2025-12-04 12:30:00,81.9,STOP_LOSS,-11.1,-832.5,43.07,-875.57,10.0,False,93.0,2025-12-09,-1.0,2025-12-04 12:15:00,300.0,8855.400000000001
PE,26000,2025-12-04 12:45:00,100.3,25993.35,26125.1,2025-12-04 13:00:00,94.15,STOP_LOSS,-6.15,-461.25,43.53,-504.78,15.0,False,100.3,2025-12-09,-1.0,2025-12-04 12:40:00,300.0,8350.62
CE,26050,2025-12-05 09:35:00,113.35,26035.75,26182.7,2025-12-05 09:45:00,111.0,STOP_LOSS,-2.35,-176.25,44.16,-220.41,10.0,False,113.35,2025-12-09,-1.0,2025-12-05 09:30:00,300.0,8130.210000000001
PE,26000,2025-12-05 10:00:00,80.2,26085.15,26244.4,2025-12-05 10:10:00,46.75,STOP_LOSS,-33.45,-2508.75,41.75,-2550.5,10.0,False,80.2,2025-12-09,-1.0,2025-12-05 09:55:00,300.0,5579.710000000001
PE,26150,2025-12-08 09:30:00,66.5,26128.8,26274.0,2025-12-08 09:45:00,73.15,TARGET,6.65,498.75,42.74,456.01,15.0,True,76.5,2025-12-09,-0.5,2025-12-08 09:25:00,300.0,6035.720000000001
PE,26100,2025-12-08 10:35:00,65.25,26089.8,26237.1,2025-12-08 10:50:00,63.7,STOP_LOSS,-1.55,-116.25,42.39,-158.64,15.0,False,65.25,2025-12-09,-1.0,2025-12-08 10:30:00,300.0,5877.080000000001
