entry_time,exit_time,option_type,strike,strike_type,expiry,entry_price,exit_price,entry_spot,exit_spot,pnl_points,pnl,exit_reason,hold_time_minutes,is_winner
2025-12-01 11:42:00,2025-12-01 11:46:00,PE,26200,OTM,2025-12-02,56.1,79.8,26228.4,26187.3,23.699999999999996,1777.4999999999998,TARGET,4.0,True
2025-12-02 09:33:00,2025-12-02 09:42:00,PE,26100,ATM,2025-12-02,36.2,53.8,26121.0,26088.75,17.599999999999994,1319.9999999999995,TARGET,9.0,True
2025-12-02 09:44:00,2025-12-02 09:55:00,PE,26100,ATM,2025-12-02,54.3,51.1,26079.3,26085.95,-3.1999999999999957,-239.9999999999997,TRAILING_STOP,11.0,False
2025-12-02 09:57:00,2025-12-02 10:10:00,PE,26100,ATM,2025-12-02,53.25,65.5,26085.55,26063.2,12.25,918.75,TARGET,13.0,True
2025-12-03 09:15:00,2025-12-03 09:27:00,PE,25950,OTM,2025-12-09,90.05,105.75,26008.8,25967.45,15.700000000000003,1177.5000000000002,TARGET,12.0,True
2025-12-03 09:29:00,2025-12-03 09:34:00,PE,25950,ATM,2025-12-09,107.7,124.8,25963.05,25933.55,17.099999999999994,1282.4999999999995,TARGET,5.0,True
2025-12-04 09:15:00,2025-12-04 09:17:00,PE,25950,ATM,2025-12-09,107.65,97.2,25950.75,25959.1,-10.450000000000003,-783.7500000000002,STOP_LOSS,2.0,False
2025-12-04 09:24:00,2025-12-04 09:44:00,CE,26050,OTM,2025-12-09,102.9,116.5,25992.65,26028.15,13.599999999999994,1019.9999999999995,TARGET,20.0,True
2025-12-04 09:46:00,2025-12-04 10:21:00,CE,26050,OTM,2025-12-09,114.55,129.7,26021.95,26052.55,15.149999999999991,1136.2499999999993,TARGET,35.0,True
2025-12-04 10:27:00,2025-12-04 10:29:00,CE,26050,ATM,2025-12-09,132.8,147.55,26057.25,26078.9,14.75,1106.25,TARGET,2.0,True
2025-12-05 09:15:00,2025-12-05 09:19:00,PE,26000,ATM,2025-12-09,77.0,68.35,26004.95,26050.6,-8.650000000000006,-648.7500000000005,STOP_LOSS,4.0,False
2025-12-05 09:21:00,2025-12-05 09:25:00,CE,26050,ATM,2025-12-09,116.7,106.55,26042.8,26032.3,-10.150000000000006,-761.2500000000005,STOP_LOSS,4.0,False
2025-12-05 09:27:00,2025-12-05 09:29:00,CE,26050,ATM,2025-12-09,116.7,108.0,26049.35,26037.45,-8.700000000000003,-652.5000000000002,STOP_LOSS,2.0,False
2025-12-08 09:18:00,2025-12-08 09:31:00,PE,26150,ATM,2025-12-09,58.75,71.7,26156.0,26129.05,12.950000000000003,971.2500000000002,TARGET,13.0,True
2025-12-08 09:34:00,2025-12-08 09:47:00,PE,26150,ATM,2025-12-09,72.5,84.65,26128.8,26104.05,12.150000000000006,911.2500000000005,TARGET,13.0,True
2025-12-09 09:29:00,2025-12-09 09:30:00,PE,25800,ATM,2025-12-09,48.0,64.2,25800.1,25776.35,16.200000000000003,1215.0000000000002,TARGET,1.0,True
2025-12-09 09:33:00,2025-12-09 09:41:00,PE,25750,ATM,2025-12-09,43.6,43.0,25764.75,25769.6,-0.6000000000000014,-45.00000000000011,TRAILING_STOP,8.0,False
2025-12-09 09:43:00,2025-12-09 09:53:00,PE,25750,ATM,2025-12-09,43.05,57.0,25768.55,25736.2,13.950000000000003,1046.2500000000002,TARGET,10.0,True
2025-12-10 09:15:00,2025-12-10 09:16:00,CE,25850,ATM,2025-12-16,137.8,153.1,25846.3,25866.05,15.299999999999983,1147.4999999999986,TARGET,1.0,True
