option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,capital_after
CE,26300,2025-11-27 10:12:00,121.4,26282.7,26465.0,2025-11-27 10:24:00,120.3,TRAILING_STOP,-1.1,-82.5,12.0,False,126.6,2025-12-02,14766.25
CE,26350,2025-11-27 10:48:00,102.2,26308.4,26493.8,2025-11-27 10:54:00,97.7,STOP_LOSS,-4.5,-337.5,6.0,False,110.05,2025-12-02,14428.75
PE,26250,2025-11-27 11:45:00,96.9,26252.15,26422.2,2025-11-27 11:48:00,112.95,TARGET,16.05,1203.75,3.0,True,112.95,2025-12-02,15632.5
CE,26250,2025-11-28 09:27:00,107.65,26229.65,26408.3,2025-11-28 09:30:00,103.05,STOP_LOSS,-4.6,-345.0,3.0,False,107.65,2025-12-02,15287.5
PE,26200,2025-11-28 09:36:00,75.25,26206.25,26390.1,2025-11-28 09:42:00,71.5,TRAILING_STOP,-3.75,-281.25,6.0,False,82.4,2025-12-02,15006.25
CE,26250,2025-11-28 09:48:00,106.45,26245.5,26423.9,2025-11-28 10:00:00,116.75,TARGET,10.3,772.5,12.0,True,116.75,2025-12-02,15778.75
CE,26250,2025-11-28 10:03:00,118.25,26265.5,26448.0,2025-11-28 10:15:00,102.75,STOP_LOSS,-15.5,-1162.5,12.0,False,121.35,2025-12-02,14616.25
PE,26250,2025-12-01 10:36:00,52.05,26265.75,26435.2,2025-12-01 10:51:00,69.2,TARGET,17.15,1286.25,15.0,True,69.2,2025-12-02,15902.5
PE,26250,2025-12-01 11:00:00,69.65,26227.6,26401.0,2025-12-01 11:15:00,59.2,STOP_LOSS,-10.45,-783.75,15.0,False,72.85,2025-12-02,15118.75
PE,26250,2025-12-01 11:39:00,57.2,26243.35,26411.1,2025-12-01 11:42:00,78.55,TARGET,21.35,1601.25,3.0,True,78.55,2025-12-02,16720.0
PE,26150,2025-12-02 09:27:00,44.65,26130.2,26294.0,2025-12-02 09:30:00,63.85,TARGET,19.2,1440.0,3.0,True,63.85,2025-12-02,18160.0
