option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
CE,26050,2025-12-04 14:55:00,109.3,26042.25,26188.0,2025-12-04 15:05:00,119.4,TARGET,10.1,757.5,44.48,713.02,10.0,True,120.55,2025-12-09,-0.5,2025-12-04 14:50:00,300.0,15669.990000000003
PE,26050,2025-12-05 09:25:00,99.5,26037.45,26176.0,2025-12-05 09:40:00,92.6,STOP_LOSS,-6.9,-517.5,43.47,-560.97,15.0,False,99.5,2025-12-09,-1.0,2025-12-05 09:20:00,300.0,15109.020000000004
PE,26000,2025-12-05 10:00:00,80.2,26085.15,26244.4,2025-12-05 10:10:00,46.75,STOP_LOSS,-33.45,-2508.75,41.75,-2550.5,10.0,False,80.2,2025-12-09,-1.0,2025-12-05 09:55:00,300.0,12558.520000000004
CE,26150,2025-12-08 09:25:00,89.85,26140.6,26283.0,2025-12-08 09:35:00,65.45,STOP_LOSS,-24.4,-1830.0,42.45,-1872.45,10.0,False,89.85,2025-12-09,-1.0,2025-12-08 09:20:00,300.0,10686.070000000003
CE,25850,2025-12-09 10:20:00,39.3,25839.8,25970.0,2025-12-09 10:35:00,25.3,TRAILING_STOP,-14.0,-1050.0,40.95,-1090.95,15.0,False,48.2,2025-12-09,-0.75,2025-12-09 10:15:00,300.0,9595.120000000003
PE,25850,2025-12-10 09:25:00,119.7,25887.4,25990.0,2025-12-10 09:35:00,90.5,STOP_LOSS,-29.2,-2190.0,43.39,-2233.39,10.0,False,119.7,2025-12-16,-1.0,2025-12-10 09:20:00,300.0,7361.730000000003
PE,25700,2025-12-11 09:40:00,107.2,25712.25,25820.0,2025-12-11 09:55:00,92.7,STOP_LOSS,-14.5,-1087.5,43.48,-1130.98,15.0,False,107.2,2025-12-16,-1.0,2025-12-11 09:35:00,300.0,6230.750000000004
CE,26000,2025-12-12 10:20:00,108.5,25959.2,26061.0,2025-12-12 10:30:00,85.75,STOP_LOSS,-22.75,-1706.25,43.22,-1749.47,10.0,False,108.5,2025-12-16,-1.0,2025-12-12 10:15:00,300.0,4481.280000000003
CE,25900,2025-12-16 13:50:00,37.9,25919.0,26002.0,2025-12-16 14:05:00,20.25,STOP_LOSS,-17.65,-1323.75,40.76,-1364.51,15.0,False,37.9,2025-12-16,-1.0,2025-12-16 13:45:00,300.0,3116.770000000003
PE,25900,2025-12-17 09:45:00,117.25,25862.9,25939.0,2025-12-17 10:10:00,143.25,TARGET,26.0,1950.0,45.37,1904.63,25.0,True,135.4,2025-12-23,-0.5,2025-12-17 09:40:00,300.0,5021.400000000003
CE,25800,2025-12-18 09:25:00,125.3,25780.05,25856.0,2025-12-18 09:35:00,108.85,STOP_LOSS,-16.45,-1233.75,44.08,-1277.83,10.0,False,125.3,2025-12-23,-1.0,2025-12-18 09:20:00,300.0,3743.5700000000033
CE,25950,2025-12-19 10:20:00,94.3,25949.6,26005.0,2025-12-19 10:45:00,106.3,TARGET,12.0,900.0,43.99,856.01,25.0,True,104.95,2025-12-23,-0.5,2025-12-19 10:15:00,300.0,4599.580000000004
PE,25950,2025-12-19 11:05:00,79.45,25946.75,26011.5,2025-12-19 11:40:00,85.25,TIME_EXIT,5.8,435.0,43.2,391.8,35.0,True,89.25,2025-12-23,-0.75,2025-12-19 11:00:00,300.0,4991.380000000004
CE,25950,2025-12-19 12:35:00,87.0,25959.65,26012.1,2025-12-19 13:05:00,80.0,STOP_LOSS,-7.0,-525.0,43.0,-568.0,30.0,False,88.25,2025-12-23,-1.0,2025-12-19 12:30:00,300.0,4423.380000000004
CE,25950,2025-12-19 13:30:00,86.4,25967.9,26011.1,2025-12-19 14:00:00,93.7,TRAILING_STOP,7.3,547.5,43.51,503.99,30.0,True,92.55,2025-12-23,-0.75,2025-12-19 13:25:00,300.0,4927.3700000000035
CE,26150,2025-12-23 10:00:00,51.05,26181.65,26222.0,2025-12-23 10:25:00,44.2,STOP_LOSS,-6.85,-513.75,41.66,-555.41,25.0,False,58.5,2025-12-23,-1.0,2025-12-23 09:55:00,300.0,4371.960000000004
PE,26200,2025-12-23 11:40:00,48.95,26170.25,26203.0,2025-12-23 12:00:00,36.45,STOP_LOSS,-12.5,-937.5,41.37,-978.87,20.0,False,48.95,2025-12-23,-1.0,2025-12-23 11:35:00,300.0,3393.090000000004
PE,26200,2025-12-24 10:55:00,83.05,26210.8,26237.7,2025-12-24 11:05:00,80.05,STOP_LOSS,-3.0,-225.0,43.0,-268.0,10.0,False,83.05,2025-12-30,-1.0,2025-12-24 10:50:00,300.0,3125.090000000004
CE,26200,2025-12-24 11:15:00,114.95,26208.25,26236.1,2025-12-24 11:50:00,97.5,STOP_LOSS,-17.45,-1308.75,43.66,-1352.41,35.0,False,116.9,2025-12-30,-1.0,2025-12-24 11:10:00,300.0,1772.6800000000037
