option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
PE,26000,2025-12-03 09:21:00,106.5,26018.0,26171.5,2025-12-03 09:24:00,106.95,STOP_LOSS,0.45,33.75,44.01,-10.26,3.0,False,106.5,2025-12-09,-1.0,2025-12-03 09:20:00,60.0,5839.4800000000005
PE,25950,2025-12-03 09:30:00,109.0,25966.4,26121.5,2025-12-03 09:34:00,124.3,TARGET,15.3,1147.5,44.66,1102.84,4.0,True,119.4,2025-12-09,-0.5,2025-12-03 09:29:00,60.0,6942.320000000001
PE,25950,2025-12-03 09:37:00,126.0,25930.4,26089.9,2025-12-03 09:42:00,114.8,STOP_LOSS,-11.2,-840.0,44.3,-884.31,5.0,False,127.05,2025-12-09,-1.0,2025-12-03 09:36:00,60.0,6058.01
PE,25950,2025-12-03 09:49:00,121.1,25941.0,26098.0,2025-12-03 10:04:00,133.8,TARGET,12.7,952.5,45.02,907.48,15.0,True,131.3,2025-12-09,-0.5,2025-12-03 09:48:00,60.0,6965.49
PE,25900,2025-12-03 10:07:00,113.9,25899.2,26060.9,2025-12-03 10:09:00,110.15,STOP_LOSS,-3.75,-281.25,44.13,-325.38,2.0,False,113.9,2025-12-09,-1.0,2025-12-03 10:06:00,60.0,6640.11
PE,25900,2025-12-03 10:18:00,111.7,25906.15,26065.0,2025-12-03 10:21:00,101.85,STOP_LOSS,-9.85,-738.75,43.82,-782.57,3.0,False,111.7,2025-12-09,-1.0,2025-12-03 10:17:00,60.0,5857.54
PE,25900,2025-12-03 10:33:00,107.1,25918.6,26070.0,2025-12-03 10:35:00,101.55,STOP_LOSS,-5.55,-416.25,43.81,-460.06,2.0,False,107.1,2025-12-09,-1.0,2025-12-03 10:32:00,60.0,5397.48
PE,25900,2025-12-03 10:41:00,112.3,25904.05,26053.9,2025-12-03 10:46:00,106.8,STOP_LOSS,-5.5,-412.5,44.01,-456.5,5.0,False,112.65,2025-12-09,-1.0,2025-12-03 10:40:00,60.0,4940.98
PE,25950,2025-12-04 09:21:00,103.5,25955.6,26092.9,2025-12-04 09:24:00,86.2,STOP_LOSS,-17.3,-1297.5,43.23,-1340.73,3.0,False,103.5,2025-12-09,-1.0,2025-12-04 09:20:00,60.0,3600.2499999999995
CE,26050,2025-12-05 09:21:00,117.2,26042.8,26186.0,2025-12-05 09:24:00,110.05,STOP_LOSS,-7.15,-536.25,44.13,-580.38,3.0,False,117.45,2025-12-09,-1.0,2025-12-05 09:20:00,60.0,3019.8699999999994
PE,26050,2025-12-05 09:31:00,96.05,26032.75,26172.1,2025-12-05 09:34:00,84.65,STOP_LOSS,-11.4,-855.0,43.17,-898.17,3.0,False,96.2,2025-12-09,-1.0,2025-12-05 09:30:00,60.0,2121.6999999999994
PE,26150,2025-12-08 09:26:00,61.2,26151.4,26294.5,2025-12-08 09:29:00,66.85,TRAILING_STOP,5.65,423.75,42.51,381.24,3.0,True,70.05,2025-12-09,-0.75,2025-12-08 09:25:00,60.0,2502.9399999999996
PE,26150,2025-12-08 09:32:00,69.2,26137.0,26272.0,2025-12-08 09:34:00,71.5,STOP_LOSS,2.3,172.5,42.68,129.82,2.0,True,69.2,2025-12-09,-1.0,2025-12-08 09:31:00,60.0,2632.7599999999998
PE,26150,2025-12-08 09:37:00,75.5,26119.6,26269.2,2025-12-08 09:43:00,67.8,STOP_LOSS,-7.7,-577.5,42.54,-620.04,6.0,False,76.5,2025-12-09,-1.0,2025-12-08 09:36:00,60.0,2012.7199999999998
PE,26100,2025-12-08 09:46:00,54.7,26117.0,26263.0,2025-12-08 09:51:00,61.75,TARGET,7.05,528.75,42.32,486.43,5.0,True,66.55,2025-12-09,-0.5,2025-12-08 09:45:00,60.0,2499.1499999999996
PE,26100,2025-12-08 09:54:00,68.6,26083.05,26234.0,2025-12-08 10:02:00,67.55,STOP_LOSS,-1.05,-78.75,42.53,-121.28,8.0,False,68.6,2025-12-09,-1.0,2025-12-08 09:53:00,60.0,2377.8699999999994
PE,26050,2025-12-08 10:05:00,46.95,26078.3,26235.0,2025-12-08 10:15:00,35.6,STOP_LOSS,-11.35,-851.25,41.34,-892.59,10.0,False,48.2,2025-12-09,-1.0,2025-12-08 10:04:00,60.0,1485.2799999999993
PE,26100,2025-12-08 10:34:00,65.5,26085.3,26232.9,2025-12-08 10:43:00,59.85,STOP_LOSS,-5.65,-423.75,42.24,-465.99,9.0,False,65.5,2025-12-09,-1.0,2025-12-08 10:33:00,60.0,1019.2899999999993
PE,25800,2025-12-09 09:21:00,38.65,25828.65,25958.0,2025-12-09 09:29:00,47.5,TARGET,8.85,663.75,41.78,621.97,8.0,True,49.25,2025-12-09,-0.5,2025-12-09 09:20:00,60.0,1641.2599999999993
PE,25750,2025-12-09 09:32:00,44.95,25761.4,25897.7,2025-12-09 09:35:00,42.9,STOP_LOSS,-2.05,-153.75,41.61,-195.36,3.0,False,44.95,2025-12-09,-1.0,2025-12-09 09:31:00,60.0,1445.8999999999992
PE,25750,2025-12-09 09:38:00,47.25,25763.65,25906.0,2025-12-09 09:42:00,41.05,STOP_LOSS,-6.2,-465.0,41.54,-506.54,4.0,False,47.25,2025-12-09,-1.0,2025-12-09 09:37:00,60.0,939.3599999999992
PE,25750,2025-12-09 09:48:00,50.95,25749.7,25889.8,2025-12-09 09:56:00,55.8,TRAILING_STOP,4.85,363.75,42.09,321.66,8.0,True,60.5,2025-12-09,-0.75,2025-12-09 09:47:00,60.0,1261.0199999999993
PE,25750,2025-12-09 09:59:00,57.75,25733.55,25878.2,2025-12-09 10:02:00,47.25,STOP_LOSS,-10.5,-787.5,41.77,-829.27,3.0,False,57.75,2025-12-09,-1.0,2025-12-09 09:58:00,60.0,431.7499999999993
CE,25800,2025-12-09 10:16:00,60.05,25804.8,25948.2,2025-12-09 10:18:00,75.8,STOP_LOSS,15.75,1181.25,42.84,1138.41,2.0,True,60.05,2025-12-09,-1.0,2025-12-09 10:15:00,60.0,1570.1599999999994
CE,25800,2025-12-09 10:21:00,73.55,25822.25,25957.5,2025-12-09 10:23:00,84.4,TARGET,10.85,813.75,43.16,770.59,2.0,True,84.35,2025-12-09,-0.5,2025-12-09 10:20:00,60.0,2340.7499999999995
CE,25850,2025-12-09 10:26:00,51.2,25838.6,25962.5,2025-12-09 10:30:00,39.35,STOP_LOSS,-11.85,-888.75,41.48,-930.23,4.0,False,52.05,2025-12-09,-1.0,2025-12-09 10:25:00,60.0,1410.5199999999995
PE,25800,2025-12-09 10:34:00,50.35,25796.6,25926.0,2025-12-09 10:37:00,50.8,STOP_LOSS,0.45,33.75,41.91,-8.16,3.0,False,55.7,2025-12-09,-1.0,2025-12-09 10:33:00,60.0,1402.3599999999994
CE,25800,2025-12-09 10:43:00,64.1,25816.15,25947.0,2025-12-09 10:46:00,51.6,STOP_LOSS,-12.5,-937.5,41.94,-979.43,3.0,False,64.1,2025-12-09,-1.0,2025-12-09 10:42:00,60.0,422.9299999999995
PE,25800,2025-12-09 10:52:00,49.4,25792.2,25922.3,2025-12-09 10:57:00,42.45,STOP_LOSS,-6.95,-521.25,41.59,-562.84,5.0,False,49.4,2025-12-09,-1.0,2025-12-09 10:51:00,60.0,-139.91000000000054
CE,25950,2025-12-10 09:22:00,105.95,25866.75,25968.0,2025-12-10 09:25:00,99.45,STOP_LOSS,-6.5,-487.5,43.73,-531.23,3.0,False,109.7,2025-12-16,-1.0,2025-12-10 09:21:00,60.0,-671.1400000000006
CE,25950,2025-12-10 09:31:00,118.15,25899.85,26003.8,2025-12-10 09:39:00,123.1,TRAILING_STOP,4.95,371.25,44.62,326.63,8.0,True,126.75,2025-12-16,-0.75,2025-12-10 09:30:00,60.0,-344.51000000000056
CE,25950,2025-12-10 09:42:00,123.85,25911.35,26018.0,2025-12-10 09:50:00,114.45,STOP_LOSS,-9.4,-705.0,44.29,-749.29,8.0,False,126.1,2025-12-16,-1.0,2025-12-10 09:41:00,60.0,-1093.8000000000006
CE,25850,2025-12-11 09:21:00,113.3,25795.8,25910.1,2025-12-11 09:23:00,104.3,STOP_LOSS,-9.0,-675.0,43.91,-718.91,2.0,False,113.3,2025-12-16,-1.0,2025-12-11 09:20:00,60.0,-1812.7100000000005
CE,25850,2025-12-11 09:29:00,114.2,25798.25,25915.6,2025-12-11 09:31:00,108.85,STOP_LOSS,-5.35,-401.25,44.08,-445.33,2.0,False,114.2,2025-12-16,-1.0,2025-12-11 09:28:00,60.0,-2258.0400000000004
CE,26000,2025-12-12 09:21:00,113.0,26008.55,26112.0,2025-12-12 09:24:00,103.35,STOP_LOSS,-9.65,-723.75,43.88,-767.63,3.0,False,113.0,2025-12-16,-1.0,2025-12-12 09:20:00,60.0,-3025.6700000000005
CE,26000,2025-12-12 09:30:00,123.5,26019.2,26133.9,2025-12-12 09:34:00,126.1,TRAILING_STOP,2.6,195.0,44.73,150.27,4.0,True,129.15,2025-12-16,-0.75,2025-12-12 09:29:00,60.0,-2875.4000000000005
CE,26050,2025-12-12 09:37:00,98.45,26033.2,26140.0,2025-12-12 09:45:00,89.85,STOP_LOSS,-8.6,-645.0,43.37,-688.37,8.0,False,98.75,2025-12-16,-1.0,2025-12-12 09:36:00,60.0,-3563.7700000000004
PE,25950,2025-12-15 09:21:00,73.65,25953.9,26042.6,2025-12-15 09:25:00,80.15,TARGET,6.5,487.5,43.01,444.49,4.0,True,84.9,2025-12-16,-0.5,2025-12-15 09:20:00,60.0,-3119.2800000000007
PE,25950,2025-12-15 09:28:00,90.35,25920.7,26013.2,2025-12-15 09:33:00,83.6,STOP_LOSS,-6.75,-506.25,43.13,-549.38,5.0,False,90.35,2025-12-16,-1.0,2025-12-15 09:27:00,60.0,-3668.6600000000008
PE,25900,2025-12-15 09:36:00,60.6,25928.95,26022.0,2025-12-15 09:46:00,60.6,TARGET,0.0,0.0,42.27,-42.27,10.0,False,70.9,2025-12-16,-0.5,2025-12-15 09:35:00,60.0,-3710.9300000000007
CE,25950,2025-12-15 09:52:00,68.85,25935.55,26023.4,2025-12-15 10:04:00,74.55,TRAILING_STOP,5.7,427.5,42.8,384.7,12.0,True,76.5,2025-12-16,-0.75,2025-12-15 09:51:00,60.0,-3326.230000000001
CE,25950,2025-12-15 10:08:00,78.05,25957.75,26039.2,2025-12-15 10:10:00,69.2,STOP_LOSS,-8.85,-663.75,42.59,-706.34,2.0,False,78.05,2025-12-16,-1.0,2025-12-15 10:07:00,60.0,-4032.570000000001
CE,25950,2025-12-15 10:13:00,76.85,25956.95,26043.4,2025-12-15 10:33:00,82.2,TRAILING_STOP,5.35,401.25,43.08,358.17,20.0,True,85.45,2025-12-16,-0.75,2025-12-15 10:12:00,60.0,-3674.400000000001
PE,25950,2025-12-15 10:41:00,69.95,25954.15,26037.8,2025-12-15 10:43:00,59.35,STOP_LOSS,-10.6,-795.0,42.23,-837.23,2.0,False,69.95,2025-12-16,-1.0,2025-12-15 10:40:00,60.0,-4511.630000000001
PE,25950,2025-12-16 09:21:00,54.05,25947.25,26029.0,2025-12-16 09:28:00,59.8,TRAILING_STOP,5.75,431.25,42.24,389.01,7.0,True,63.3,2025-12-16,-0.75,2025-12-16 09:20:00,60.0,-4122.620000000001
PE,25900,2025-12-16 09:31:00,41.9,25910.8,25996.0,2025-12-16 09:34:00,36.8,STOP_LOSS,-5.1,-382.5,41.38,-423.88,3.0,False,41.9,2025-12-16,-1.0,2025-12-16 09:30:00,60.0,-4546.500000000001
PE,25900,2025-12-16 09:37:00,39.45,25910.0,26002.9,2025-12-16 09:41:00,28.8,STOP_LOSS,-10.65,-798.75,41.08,-839.83,4.0,False,39.45,2025-12-16,-1.0,2025-12-16 09:36:00,60.0,-5386.330000000001
CE,25950,2025-12-16 09:47:00,37.45,25934.7,26016.8,2025-12-16 09:56:00,33.6,STOP_LOSS,-3.85,-288.75,41.26,-330.01,9.0,False,40.8,2025-12-16,-1.0,2025-12-16 09:46:00,60.0,-5716.340000000001
CE,25950,2025-12-17 09:21:00,114.3,25892.25,25974.6,2025-12-17 09:23:00,121.05,TARGET,6.75,506.25,44.54,461.71,2.0,True,125.45,2025-12-23,-0.5,2025-12-17 09:20:00,60.0,-5254.630000000001
CE,25950,2025-12-17 09:26:00,125.35,25914.5,25993.9,2025-12-17 09:30:00,116.35,STOP_LOSS,-9.0,-675.0,44.36,-719.36,4.0,False,125.35,2025-12-23,-1.0,2025-12-17 09:25:00,60.0,-5973.990000000001
CE,25950,2025-12-17 09:33:00,123.75,25914.9,25989.7,2025-12-17 09:39:00,121.35,TRAILING_STOP,-2.4,-180.0,44.55,-224.55,6.0,False,128.0,2025-12-23,-0.75,2025-12-17 09:32:00,60.0,-6198.540000000001
PE,25900,2025-12-17 09:45:00,117.25,25881.55,25955.5,2025-12-17 09:53:00,128.95,TARGET,11.7,877.5,44.84,832.66,8.0,True,130.0,2025-12-23,-0.5,2025-12-17 09:44:00,60.0,-5365.880000000001
PE,25850,2025-12-17 10:01:00,105.15,25861.65,25934.5,2025-12-17 10:07:00,119.5,TARGET,14.35,1076.25,44.48,1031.77,6.0,True,121.45,2025-12-23,-0.5,2025-12-17 10:00:00,60.0,-4334.110000000001
PE,25850,2025-12-17 10:11:00,119.5,25830.95,25900.3,2025-12-17 10:13:00,114.2,STOP_LOSS,-5.3,-397.5,44.28,-441.78,2.0,False,119.5,2025-12-23,-1.0,2025-12-17 10:10:00,60.0,-4775.89
PE,25850,2025-12-17 10:16:00,117.8,25834.35,25905.0,2025-12-17 10:19:00,108.65,STOP_LOSS,-9.15,-686.25,44.07,-730.32,3.0,False,119.25,2025-12-23,-1.0,2025-12-17 10:15:00,60.0,-5506.21
PE,25850,2025-12-17 10:25:00,124.0,25823.45,25890.3,2025-12-17 10:27:00,121.2,STOP_LOSS,-2.8,-210.0,44.55,-254.54,2.0,False,124.0,2025-12-23,-1.0,2025-12-17 10:24:00,60.0,-5760.75
PE,25800,2025-12-17 10:33:00,98.25,25821.6,25897.0,2025-12-17 10:48:00,92.05,STOP_LOSS,-6.2,-465.0,43.45,-508.45,15.0,False,101.4,2025-12-23,-1.0,2025-12-17 10:32:00,60.0,-6269.2
PE,25800,2025-12-17 10:55:00,105.15,25807.6,25883.0,2025-12-17 10:58:00,96.8,STOP_LOSS,-8.35,-626.25,43.63,-669.88,3.0,False,105.15,2025-12-23,-1.0,2025-12-17 10:54:00,60.0,-6939.08
PE,25800,2025-12-18 09:21:00,103.4,25777.4,25850.0,2025-12-18 09:24:00,95.05,STOP_LOSS,-8.35,-626.25,43.56,-669.81,3.0,False,103.4,2025-12-23,-1.0,2025-12-18 09:20:00,60.0,-7608.889999999999
PE,25800,2025-12-18 09:34:00,100.2,25785.3,25858.8,2025-12-18 09:37:00,98.1,TRAILING_STOP,-2.1,-157.5,43.68,-201.18,3.0,False,105.45,2025-12-23,-0.75,2025-12-18 09:33:00,60.0,-7810.07
PE,25750,2025-12-18 09:43:00,89.2,25756.9,25833.5,2025-12-18 09:47:00,98.15,TARGET,8.95,671.25,43.68,627.57,4.0,True,100.65,2025-12-23,-0.5,2025-12-18 09:42:00,60.0,-7182.5
PE,25750,2025-12-18 09:57:00,97.7,25745.05,25809.4,2025-12-18 10:05:00,90.9,STOP_LOSS,-6.8,-510.0,43.41,-553.41,8.0,False,97.7,2025-12-23,-1.0,2025-12-18 09:56:00,60.0,-7735.91
CE,25800,2025-12-18 10:10:00,108.55,25769.25,25844.1,2025-12-18 10:13:00,121.5,TARGET,12.95,971.25,44.56,926.69,3.0,True,121.25,2025-12-23,-0.5,2025-12-18 10:09:00,60.0,-6809.219999999999
CE,25800,2025-12-18 10:16:00,121.35,25788.75,25870.0,2025-12-18 10:19:00,145.0,TARGET,23.65,1773.75,45.44,1728.31,3.0,True,136.75,2025-12-23,-0.5,2025-12-18 10:15:00,60.0,-5080.91
CE,25850,2025-12-18 10:22:00,117.15,25826.95,25907.8,2025-12-18 10:25:00,117.05,TRAILING_STOP,-0.1,-7.5,44.39,-51.89,3.0,False,126.5,2025-12-23,-0.75,2025-12-18 10:21:00,60.0,-5132.8
CE,25850,2025-12-18 10:29:00,117.95,25829.75,25912.8,2025-12-18 10:34:00,135.0,TARGET,17.05,1278.75,45.06,1233.69,5.0,True,128.1,2025-12-23,-0.5,2025-12-18 10:28:00,60.0,-3899.11
CE,25950,2025-12-19 09:21:00,94.75,25933.85,25992.0,2025-12-19 09:31:00,107.6,TARGET,12.85,963.75,44.03,919.71,10.0,True,110.0,2025-12-23,-0.5,2025-12-19 09:20:00,60.0,-2979.4
CE,25950,2025-12-19 09:34:00,110.05,25963.5,26027.0,2025-12-19 09:44:00,103.4,STOP_LOSS,-6.65,-498.75,43.88,-542.63,10.0,False,110.05,2025-12-23,-1.0,2025-12-19 09:33:00,60.0,-3522.03
CE,25950,2025-12-19 09:48:00,102.45,25949.75,26009.8,2025-12-19 09:50:00,100.25,STOP_LOSS,-2.2,-165.0,43.76,-208.76,2.0,False,102.45,2025-12-23,-1.0,2025-12-19 09:47:00,60.0,-3730.79
CE,25950,2025-12-19 09:59:00,104.7,25958.85,26022.0,2025-12-19 10:06:00,88.65,STOP_LOSS,-16.05,-1203.75,43.32,-1247.07,7.0,False,107.0,2025-12-23,-1.0,2025-12-19 09:58:00,60.0,-4977.86
CE,26100,2025-12-22 09:21:00,84.2,26116.1,26177.0,2025-12-22 09:35:00,82.25,STOP_LOSS,-1.95,-146.25,43.08,-189.33,14.0,False,86.2,2025-12-23,-1.0,2025-12-22 09:20:00,60.0,-5167.19
CE,26100,2025-12-22 09:45:00,85.2,26134.1,26184.0,2025-12-22 09:49:00,74.6,STOP_LOSS,-10.6,-795.0,42.8,-837.8,4.0,False,85.2,2025-12-23,-1.0,2025-12-22 09:44:00,60.0,-6004.99
CE,26150,2025-12-23 09:22:00,46.2,26153.95,26203.0,2025-12-23 09:26:00,40.1,STOP_LOSS,-6.1,-457.5,41.5,-499.0,4.0,False,47.55,2025-12-23,-1.0,2025-12-23 09:21:00,60.0,-6503.99
PE,26150,2025-12-23 09:32:00,50.35,26137.6,26184.5,2025-12-23 09:37:00,45.5,STOP_LOSS,-4.85,-363.75,41.71,-405.46,5.0,False,50.35,2025-12-23,-1.0,2025-12-23 09:31:00,60.0,-6909.45
