Timestamp,Strategy,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
12:59:22,STRATEGY_C,25891.45,39,True,26084.82,25900,0.69,143.85,95.2,40614,51229,0.5691,-0.4309,SCANNING,0,Waiting for entry
12:59:34,STRATEGY_C,25893.9,43,True,26084.77,25900,0.69,143.9,95.05,40614,51229,0.5691,-0.4309,SCANNING,0,Waiting for entry
12:59:45,STRATEGY_C,25892.45,41,True,26084.7,25900,0.69,144.05,94.85,40614,51229,0.5688,-0.4312,SCANNING,0,Waiting for entry
12:59:57,STRATEGY_C,25893.35,42,True,26084.6,25900,0.69,143.55,95.2,40614,51229,0.5696,-0.4304,SCANNING,0,Waiting for entry
13:00:10,STRATEGY_C,25894.6,44,True,26084.47,25900,0.69,143.75,94.65,40614,51229,0.5695,-0.4305,SCANNING,0,Waiting for entry
13:00:21,STRATEGY_C,25892.95,42,True,26084.46,25900,0.69,143.75,94.65,40614,51229,0.5686,-0.4314,SCANNING,0,Waiting for entry
13:00:30,STRATEGY_C,25894.65,44,True,26084.45,25900,0.69,145.75,93.6,40614,51229,0.572,-0.428,SCANNING,0,Waiting for entry
13:00:42,STRATEGY_C,25895.1,45,True,26084.45,25900,0.69,145.7,93.25,40614,51229,0.572,-0.428,SCANNING,0,Waiting for entry
13:00:52,STRATEGY_C,25896.05,46,True,26084.44,25900,0.69,145,94.05,40614,51229,0.5733,-0.4267,SCANNING,0,Waiting for entry
13:01:03,STRATEGY_C,25894.3,44,True,26084.42,25900,0.69,144.45,94.5,40614,51229,0.5733,-0.4267,SCANNING,0,Waiting for entry
13:01:14,STRATEGY_C,25894.05,43,True,26084.4,25900,0.69,145,93.85,40614,51229,0.5705,-0.4295,SCANNING,0,Waiting for entry
13:01:29,STRATEGY_C,25894.75,45,True,26084.38,25900,0.69,144.75,93.75,40614,51229,0.5712,-0.4288,SCANNING,0,Waiting for entry
13:01:39,STRATEGY_C,25892.25,41,True,26084.35,25900,0.69,144.5,94.4,40614,51229,0.5719,-0.4281,SCANNING,0,Waiting for entry
13:01:49,STRATEGY_C,25891.15,40,True,26084.33,25900,0.69,144,94.5,40614,51229,0.5717,-0.4283,SCANNING,0,Waiting for entry
13:01:59,STRATEGY_C,25890.3,39,True,26084.33,25900,0.69,142.95,95.15,40614,51229,0.5717,-0.4283,SCANNING,0,Waiting for entry
13:02:10,STRATEGY_C,25890.05,39,True,26084.32,25900,0.69,143.4,95.25,40614,51229,0.5675,-0.4325,SCANNING,0,Waiting for entry
13:02:24,STRATEGY_C,25889.15,38,True,26084.32,25900,0.69,143.4,95.45,41107,52057,0.5675,-0.4325,SCANNING,0,Waiting for entry
13:02:37,STRATEGY_C,25888.45,37,True,26084.27,25900,0.69,143.5,95.5,41107,52057,0.5675,-0.4325,SCANNING,0,Waiting for entry
13:02:47,STRATEGY_C,25888.25,37,True,26084.28,25900,0.69,143.35,95.4,41107,52057,0.5675,-0.4325,SCANNING,0,Waiting for entry
13:02:58,STRATEGY_C,25887.8,37,True,26084.27,25900,0.69,141.8,96.1,41107,52057,0.567,-0.433,SCANNING,0,Waiting for entry
13:03:09,STRATEGY_C,25889.9,40,True,26084.26,25900,0.69,142.95,95.5,41107,52057,0.5656,-0.4344,SCANNING,0,Waiting for entry
13:03:19,STRATEGY_C,25888.35,38,True,26084.26,25900,0.69,143.4,95.3,41107,52057,0.5675,-0.4325,SCANNING,0,Waiting for entry
13:03:31,STRATEGY_C,25891.85,43,True,26084.26,25900,0.69,143.15,95.35,41107,52057,0.5673,-0.4327,SCANNING,0,Waiting for entry
13:03:43,STRATEGY_C,25891.15,42,True,26084.26,25900,0.69,143.4,95.35,41107,52057,0.5673,-0.4327,SCANNING,0,Waiting for entry
13:03:54,STRATEGY_C,25888.75,38,True,26084.25,25900,0.69,143.4,95.15,41107,52057,0.5663,-0.4337,SCANNING,0,Waiting for entry
13:04:05,STRATEGY_C,25889.15,39,True,26084.24,25900,0.69,143.35,95.3,41107,52057,0.5678,-0.4322,SCANNING,0,Waiting for entry
13:04:15,STRATEGY_C,25889.6,40,True,26084.24,25900,0.69,143.35,95.3,41107,52057,0.5678,-0.4322,SCANNING,0,Waiting for entry
13:04:26,STRATEGY_C,25888.7,38,True,26084.24,25900,0.69,142.25,95.55,41107,52057,0.5673,-0.4327,SCANNING,0,Waiting for entry
13:04:38,STRATEGY_C,25886.0,36,True,26084.21,25900,0.69,141.3,96.35,41107,52057,0.5656,-0.4344,SCANNING,0,Waiting for entry
13:04:49,STRATEGY_C,25886.4,36,True,26084.17,25900,0.69,140.7,96.45,41107,52057,0.5644,-0.4356,SCANNING,0,Waiting for entry
13:04:59,STRATEGY_C,25888.55,38,True,26084.17,25900,0.69,141.1,96.35,41107,52057,0.5631,-0.4369,SCANNING,0,Waiting for entry
13:05:10,STRATEGY_C,25888.0,38,True,26084.05,25900,0.69,141.2,96.6,41107,52057,0.5639,-0.4361,SCANNING,0,Waiting for entry
13:05:22,STRATEGY_C,25891.25,43,True,26083.87,25900,0.69,141.4,96.35,41474,52452,0.5645,-0.4355,SCANNING,0,Waiting for entry
13:05:34,STRATEGY_C,25888.05,38,True,26083.85,25900,0.69,141.15,96.35,41474,52452,0.5636,-0.4364,SCANNING,0,Waiting for entry
13:05:47,STRATEGY_C,25888.95,39,True,26083.83,25900,0.69,141.85,95.95,41474,52452,0.5641,-0.4359,SCANNING,0,Waiting for entry
13:05:59,STRATEGY_C,25888.9,39,True,26083.81,25900,0.69,141.15,96.8,41474,52452,0.5653,-0.4347,SCANNING,0,Waiting for entry
13:06:10,STRATEGY_C,25887.65,37,True,26083.78,25900,0.69,141.5,96.4,41474,52452,0.5637,-0.4363,SCANNING,0,Waiting for entry
13:06:22,STRATEGY_C,25889.9,41,True,26083.75,25900,0.69,141.65,95.9,41474,52452,0.5649,-0.4351,SCANNING,0,Waiting for entry
13:06:32,STRATEGY_C,25890.05,41,True,26083.73,25900,0.69,141.65,96.1,41474,52452,0.5645,-0.4355,SCANNING,0,Waiting for entry
13:06:46,STRATEGY_C,25890.85,43,True,26083.73,25900,0.69,141.95,95.4,41474,52452,0.5645,-0.4355,SCANNING,0,Waiting for entry
13:06:58,STRATEGY_C,25889.7,40,True,26083.73,25900,0.69,142.8,95.1,41474,52452,0.5659,-0.4341,SCANNING,0,Waiting for entry
13:07:09,STRATEGY_C,25891.05,43,True,26083.72,25900,0.69,142.95,95.45,41474,52452,0.5677,-0.4323,SCANNING,0,Waiting for entry
13:07:20,STRATEGY_C,25892.25,45,True,26083.72,25900,0.69,143.1,94.9,41474,52452,0.5667,-0.4333,SCANNING,0,Waiting for entry
13:07:31,STRATEGY_C,25889.05,40,True,26083.71,25900,0.69,142.45,95.7,41474,52452,0.5681,-0.4319,SCANNING,0,Waiting for entry
13:07:43,STRATEGY_C,25889.25,40,True,26083.71,25900,0.69,141.55,96.45,41474,52452,0.5648,-0.4352,SCANNING,0,Waiting for entry
13:07:54,STRATEGY_C,25886.65,37,True,26083.71,25900,0.69,141.6,96.4,41474,52452,0.5644,-0.4356,SCANNING,0,Waiting for entry
13:08:08,STRATEGY_C,25885.7,35,True,26083.7,25900,0.69,141.65,96.15,41474,52452,0.5646,-0.4354,SCANNING,0,Waiting for entry
13:08:20,STRATEGY_C,25889.65,42,True,26083.69,25900,0.69,141.7,95.8,41970,52029,0.5643,-0.4357,SCANNING,0,Waiting for entry
13:08:30,STRATEGY_C,25889.1,41,True,26083.69,25900,0.69,141.8,96.3,41970,52029,0.565,-0.435,SCANNING,0,Waiting for entry
13:08:41,STRATEGY_C,25887.75,39,True,26083.68,25900,0.69,141.55,96.35,41970,52029,0.565,-0.435,SCANNING,0,Waiting for entry
