target_min,threshold,sl_frac,tp_frac,trades,wins,precision,trades_per_day,avg_pnl,total_pnl
1,0.74,,,11,0,0.0,0.005080831408775982,-43.34167722222174,-390.07509499999566
1,0.74,,0.0006,11,0,0.0,0.005080831408775982,-43.34167722222174,-390.07509499999566
1,0.74,,0.001,11,0,0.0,0.005080831408775982,-43.34167722222174,-390.07509499999566
1,0.72,0.0003,,32,0,0.0,0.014780600461893764,-42.09332112068945,-1220.706312499994
1,0.72,0.0003,0.001,32,0,0.0,0.014780600461893764,-42.09332112068945,-1220.706312499994
1,0.72,0.0003,0.0006,32,0,0.0,0.014780600461893764,-42.25720732758603,-1225.459012499995
1,0.72,0.0005,,32,0,0.0,0.014780600461893764,-42.79419267241356,-1241.0315874999933
1,0.72,0.0005,0.001,32,0,0.0,0.014780600461893764,-42.79419267241356,-1241.0315874999933
1,0.72,0.0005,0.0006,32,0,0.0,0.014780600461893764,-42.95807887931014,-1245.7842874999942
1,0.72,,,32,0,0.0,0.014780600461893764,-43.4644349137929,-1260.4686124999942
1,0.72,,0.001,32,0,0.0,0.014780600461893764,-43.4644349137929,-1260.4686124999942
1,0.72,,0.0006,32,0,0.0,0.014780600461893764,-43.62832112068948,-1265.2213124999948
1,0.7,0.0003,,88,0,0.0,0.040646651270207855,-42.579208841463405,-3491.4951249999995
1,0.7,0.0003,0.001,88,0,0.0,0.040646651270207855,-42.579208841463405,-3491.4951249999995
1,0.7,0.0003,0.0006,88,0,0.0,0.040646651270207855,-42.63716859756098,-3496.2478250000004
1,0.7,0.0005,,88,0,0.0,0.040646651270207855,-43.16353835365854,-3539.410145
1,0.7,0.0005,0.001,88,0,0.0,0.040646651270207855,-43.16353835365854,-3539.410145
1,0.7,0.0005,0.0006,88,0,0.0,0.040646651270207855,-43.221498109756105,-3544.1628450000007
1,0.7,,,88,0,0.0,0.040646651270207855,-43.68886457317078,-3582.486895000004
1,0.7,,0.001,88,0,0.0,0.040646651270207855,-43.68886457317078,-3582.486895000004
1,0.7,,0.0006,88,0,0.0,0.040646651270207855,-43.74682432926835,-3587.2395950000046
1,0.68,0.0003,,184,0,0.0,0.08498845265588914,-41.98197349702375,-7052.97154749999
1,0.68,0.0003,0.001,184,0,0.0,0.08498845265588914,-41.984678556547564,-7053.42599749999
1,0.68,0.0003,0.0006,184,0,0.0,0.08498845265588914,-42.14020337797615,-7079.554167499993
1,0.68,0.0005,,184,0,0.0,0.08498845265588914,-42.4449481398809,-7130.751287499991
1,0.68,0.0005,0.001,184,0,0.0,0.08498845265588914,-42.447653199404705,-7131.20573749999
1,0.68,0.0005,0.0006,184,0,0.0,0.08498845265588914,-42.60317802083329,-7157.333907499993
1,0.68,,,184,0,0.0,0.08498845265588914,-42.933740252976165,-7212.868362499996
1,0.68,,0.001,184,0,0.0,0.08498845265588914,-42.93644531249997,-7213.322812499995
1,0.68,,0.0006,184,0,0.0,0.08498845265588914,-43.09197013392856,-7239.450982499999
1,0.66,0.0003,,346,0,0.0,0.15981524249422632,-41.89074299833885,-12609.113642499993
1,0.66,0.0003,0.001,346,0,0.0,0.15981524249422632,-41.892252799003295,-12609.568092499992
1,0.66,0.0003,0.0006,346,0,0.0,0.15981524249422632,-42.017788380398656,-12647.354302499996
1,0.66,0.0005,,346,0,0.0,0.15981524249422632,-42.384891004983345,-12757.852192499988
1,0.66,0.0005,0.001,346,0,0.0,0.15981524249422632,-42.386400805647796,-12758.306642499987
1,0.66,0.0005,0.0006,346,0,0.0,0.15981524249422632,-42.51193638704316,-12796.09285249999
1,0.66,,,346,0,0.0,0.15981524249422632,-43.038811686046486,-12954.682317499992
1,0.66,,0.001,346,0,0.0,0.15981524249422632,-43.04032148671094,-12955.136767499993
1,0.66,,0.0006,346,0,0.0,0.15981524249422632,-43.165857068106305,-12992.922977499999
1,0.64,0.0003,,664,0,0.0,0.3066974595842956,-41.85442518817197,-23354.769254999963
1,0.64,0.0003,0.001,664,0,0.0,0.3066974595842956,-41.85900556451606,-23357.32510499996
1,0.64,0.0003,0.0006,664,0,0.0,0.3066974595842956,-42.030313055555496,-23452.914684999967
1,0.64,0.0005,,664,0,0.0,0.3066974595842956,-42.3272183960573,-23618.587864999972
1,0.64,0.0005,0.001,664,0,0.0,0.3066974595842956,-42.33179877240138,-23621.14371499997
1,0.64,0.0005,0.0006,664,0,0.0,0.3066974595842956,-42.50310626344082,-23716.733294999976
1,0.64,,,664,0,0.0,0.3066974595842956,-42.84690128136196,-23908.57091499997
1,0.64,,0.001,664,0,0.0,0.3066974595842956,-42.85148165770604,-23911.126764999968
1,0.64,,0.0006,664,0,0.0,0.3066974595842956,-43.02278914874547,-24006.71634499997
1,0.62,0.0003,,1373,0,0.0,0.6341801385681294,-41.7900738129689,-38990.13886749998
1,0.62,0.0003,0.001,1373,0,0.0,0.6341801385681294,-41.80591148713824,-39004.91541749998
1,0.62,0.0003,0.0006,1373,0,0.0,0.6341801385681294,-41.99517374866022,-39181.497107499985
1,0.62,0.0005,,1373,0,0.0,0.6341801385681294,-42.259034268488726,-39427.67897249998
1,0.62,0.0005,0.001,1373,0,0.0,0.6341801385681294,-42.27487194265807,-39442.455522499986
1,0.62,0.0005,0.0006,1373,0,0.0,0.6341801385681294,-42.46413420418005,-39619.037212499985
1,0.62,,,1373,0,0.0,0.6341801385681294,-42.780729418542315,-39914.420547499976
1,0.62,,0.001,1373,0,0.0,0.6341801385681294,-42.79656709271166,-39929.19709749998
1,0.62,,0.0006,1373,0,0.0,0.6341801385681294,-42.98582935423364,-40105.778787499985
1,0.6,0.0003,,3311,0,0.0,1.5293302540415705,-41.838978563397866,-66984.20467999998
1,0.6,0.0003,0.001,3311,0,0.0,1.5293302540415705,-41.89036107432853,-67066.46807999998
1,0.6,0.0003,0.0006,3311,0,0.0,1.5293302540415705,-42.10781909431604,-67414.61836999998
1,0.6,0.0005,,3311,0,0.0,1.5293302540415705,-42.31130862898187,-67740.40511499997
1,0.6,0.0005,0.001,3311,0,0.0,1.5293302540415705,-42.362691139912535,-67822.66851499997
1,0.6,0.0005,0.0006,3311,0,0.0,1.5293302540415705,-42.58014915990005,-68170.81880499999
1,0.6,,,3311,0,0.0,1.5293302540415705,-42.795731349156775,-68515.96588999999
1,0.6,,0.001,3311,0,0.0,1.5293302540415705,-42.84711386008744,-68598.22928999999
1,0.6,,0.0006,3311,0,0.0,1.5293302540415705,-43.06457188007495,-68946.37958
1,0.58,0.0003,,8843,0,0.0,4.084526558891455,-41.89473828125001,-113283.37231250001
1,0.58,0.0003,0.001,8843,0,0.0,4.084526558891455,-41.948709749445264,-113429.3111625
1,0.58,0.0003,0.0006,8843,0,0.0,4.084526558891455,-42.156570130362425,-113991.36563249999
1,0.58,0.0005,,8843,0,0.0,4.084526558891455,-42.36445011002218,-114553.47309749998
1,0.58,0.0005,0.001,8843,0,0.0,4.084526558891455,-42.418421578217455,-114699.41194749999
1,0.58,0.0005,0.0006,8843,0,0.0,4.084526558891455,-42.626281959134616,-115261.46641749999
1,0.58,,,8843,0,0.0,4.084526558891455,-42.83053661150147,-115813.77099749999
1,0.58,,0.001,8843,0,0.0,4.084526558891455,-42.88450807969675,-115959.70984750001
1,0.58,,0.0006,8843,0,0.0,4.084526558891455,-43.0923684606139,-116521.76431749998
1,0.56,0.0003,,24095,3,0.0001245071591616518,11.129330254041571,-41.91952796307505,-207753.18058499994
1,0.56,0.0003,0.001,24095,0,0.0,11.129330254041571,-42.00364132062146,-208170.04638499997
1,0.56,0.0003,0.0006,24095,0,0.0,11.129330254041571,-42.23904415153349,-209336.70281499997
1,0.56,0.0005,,24095,3,0.0001245071591616518,11.129330254041571,-42.41627817594833,-210215.07463999992
1,0.56,0.0005,0.001,24095,0,0.0,11.129330254041571,-42.500391533494735,-210631.94043999992
1,0.56,0.0005,0.0006,24095,0,0.0,11.129330254041571,-42.73579436440677,-211798.59686999995
1,0.56,,,24095,3,0.0001245071591616518,11.129330254041571,-42.88551362288134,-212540.60551499992
1,0.56,,0.001,24095,0,0.0,11.129330254041571,-42.96962698042775,-212957.47131499992
1,0.56,,0.0006,24095,0,0.0,11.129330254041571,-43.20502981133978,-214124.12774499995
1,0.54,0.0003,,57818,8,0.0001383652149849528,26.70577367205543,-41.93762783666042,-380248.471595
1,0.54,0.0003,0.001,57818,0,0.0,26.70577367205543,-42.057752629866556,-381337.64309500006
1,0.54,0.0003,0.0006,57818,0,0.0,26.70577367205543,-42.31258348461454,-383648.19445500005
1,0.54,0.0005,,57818,8,0.0001383652149849528,26.70577367205543,-42.48258837432447,-385189.62879
1,0.54,0.0005,0.001,57818,0,0.0,26.70577367205543,-42.6027131675306,-386278.80029
1,0.54,0.0005,0.0006,57818,0,0.0,26.70577367205543,-42.857544022278596,-388589.35165
1,0.54,,,57818,8,0.0001383652149849528,26.70577367205543,-43.02301605161575,-390089.68653999997
1,0.54,,0.001,57818,0,0.0,26.70577367205543,-43.14314084482188,-391178.85803999996
1,0.54,,0.0006,57818,0,0.0,26.70577367205543,-43.39797169956987,-393489.4094
1,0.52,0.0003,,118927,15,0.0001261277926795429,54.93163972286374,-41.92644723846916,-678118.3576350001
1,0.52,0.0003,0.001,118927,0,0.0,54.93163972286374,-42.06454159051565,-680351.8956850001
1,0.52,0.0003,0.0006,118927,0,0.0,54.93163972286374,-42.33732203505627,-684763.8465950001
1,0.52,0.0005,,118927,15,0.0001261277926795429,54.93163972286374,-42.502783278718944,-687440.0167500002
1,0.52,0.0005,0.001,118927,0,0.0,54.93163972286374,-42.64087763076543,-689673.5548
1,0.52,0.0005,0.0006,118927,0,0.0,54.93163972286374,-42.91365807530606,-694085.5057100002
1,0.52,,,118927,15,0.0001261277926795429,54.93163972286374,-43.07789122975146,-696741.81275
1,0.52,,0.001,118927,0,0.0,54.93163972286374,-43.215985581797945,-698975.3508
1,0.52,,0.0006,118927,0,0.0,54.93163972286374,-43.48876602633857,-703387.30171
1,0.5,0.0003,,218641,30,0.00013721122753737863,100.98891454965359,-41.8369290130146,-1152440.0465925
1,0.5,0.0003,0.001,218641,0,0.0,100.98891454965359,-41.98298481058956,-1156463.2995925
1,0.5,0.0003,0.0006,218641,0,0.0,100.98891454965359,-42.2838598621397,-1164751.2037625
1,0.5,0.0005,,218641,30,0.00013721122753737863,100.98891454965359,-42.43916025711538,-1169029.1084425002
1,0.5,0.0005,0.001,218641,0,0.0,100.98891454965359,-42.585216054690335,-1173052.3614425
1,0.5,0.0005,0.0006,218641,0,0.0,100.98891454965359,-42.88609110624048,-1181340.2656125003
1,0.5,,,218641,30,0.00013721122753737863,100.98891454965359,-43.10220518832135,-1187293.3441175
1,0.5,,0.001,218641,0,0.0,100.98891454965359,-43.248260985896316,-1191316.5971175
1,0.5,,0.0006,218641,0,0.0,100.98891454965359,-43.54913603744645,-1199604.5012875
3,0.9,,,0,0,0.0,0.0,0.0,0.0
3,0.88,,,0,0,0.0,0.0,0.0,0.0
3,0.86,,,0,0,0.0,0.0,0.0,0.0
3,0.84,,,0,0,0.0,0.0,0.0,0.0
3,0.82,,,0,0,0.0,0.0,0.0,0.0
3,0.8,,,0,0,0.0,0.0,0.0,0.0
3,0.78,,,0,0,0.0,0.0,0.0,0.0
3,0.76,,,3,0,0.0,0.0013856812933025404,-34.98937583333212,-104.96812749999636
3,0.76,,0.001,3,0,0.0,0.0013856812933025404,-34.98937583333212,-104.96812749999636
3,0.76,0.0003,,3,0,0.0,0.0013856812933025404,-34.98937583333212,-104.96812749999636
3,0.76,0.0003,0.001,3,0,0.0,0.0013856812933025404,-34.98937583333212,-104.96812749999636
3,0.76,0.0005,,3,0,0.0,0.0013856812933025404,-34.98937583333212,-104.96812749999636
3,0.76,0.0005,0.001,3,0,0.0,0.0013856812933025404,-34.98937583333212,-104.96812749999636
3,0.76,,0.0006,3,0,0.0,0.0013856812933025404,-35.33121583333285,-105.99364749999854
3,0.76,0.0003,0.0006,3,0,0.0,0.0013856812933025404,-35.33121583333285,-105.99364749999854
3,0.76,0.0005,0.0006,3,0,0.0,0.0013856812933025404,-35.33121583333285,-105.99364749999854
3,0.74,0.0003,,11,0,0.0,0.005080831408775982,-40.542322777777095,-364.88090499999385
3,0.74,0.0003,0.001,11,0,0.0,0.005080831408775982,-40.542322777777095,-364.88090499999385
3,0.74,0.0003,0.0006,11,0,0.0,0.005080831408775982,-40.711051666666265,-366.3994649999964
3,0.74,0.0005,,11,0,0.0,0.005080831408775982,-40.92260777777718,-368.3034699999946
3,0.74,0.0005,0.001,11,0,0.0,0.005080831408775982,-40.92260777777718,-368.3034699999946
3,0.74,0.0005,0.0006,11,0,0.0,0.005080831408775982,-41.09133666666634,-369.8220299999971
3,0.74,,,11,0,0.0,0.005080831408775982,-42.05278833333281,-378.4750949999953
3,0.74,,0.001,11,0,0.0,0.005080831408775982,-42.05278833333281,-378.4750949999953
3,0.74,,0.0006,11,0,0.0,0.005080831408775982,-42.22151722222198,-379.99365499999783
3,0.72,0.0003,,32,0,0.0,0.014780600461893764,-42.45101887931005,-1231.0795474999913
3,0.72,0.0003,0.001,32,0,0.0,0.014780600461893764,-42.45101887931005,-1231.0795474999913
3,0.72,0.0003,0.0006,32,0,0.0,0.014780600461893764,-42.61556784482737,-1235.8514674999938
3,0.72,0.0005,,32,0,0.0,0.014780600461893764,-43.80390732758586,-1270.31331249999
3,0.72,0.0005,0.001,32,0,0.0,0.014780600461893764,-43.80390732758586,-1270.31331249999
3,0.72,0.0005,0.0006,32,0,0.0,0.014780600461893764,-43.96845629310319,-1275.0852324999923
3,0.72,,,32,0,0.0,0.014780600461893764,-47.47822801724122,-1376.8686124999954
3,0.72,,0.001,32,0,0.0,0.014780600461893764,-47.47822801724122,-1376.8686124999954
3,0.72,,0.0006,32,0,0.0,0.014780600461893764,-47.642776982758555,-1381.640532499998
3,0.7,0.0003,,88,0,0.0,0.040646651270207855,-41.554149146341345,-3407.44022999999
3,0.7,0.0003,0.001,88,0,0.0,0.040646651270207855,-41.6106625609755,-3412.074329999991
3,0.7,0.0003,0.0006,88,0,0.0,0.040646651270207855,-41.99815597560968,-3443.8487899999936
3,0.7,0.0005,,88,0,0.0,0.040646651270207855,-42.532733475609646,-3487.684144999991
3,0.7,0.0005,0.001,88,0,0.0,0.040646651270207855,-42.5892468902438,-3492.3182449999913
3,0.7,0.0005,0.0006,88,0,0.0,0.040646651270207855,-42.976740304877985,-3524.0927049999946
3,0.7,,,88,0,0.0,0.040646651270207855,-44.62910847560972,-3659.586894999997
3,0.7,,0.001,88,0,0.0,0.040646651270207855,-44.68562189024388,-3664.220994999998
3,0.7,,0.0006,88,0,0.0,0.040646651270207855,-45.073115304878066,-3695.995455000001
3,0.68,0.0003,,184,1,0.005434782608695652,0.08498845265588914,-40.88311066964271,-6868.362592499975
3,0.68,0.0003,0.001,184,0,0.0,0.08498845265588914,-41.204884776785576,-6922.420642499977
3,0.68,0.0005,,184,1,0.005434782608695652,0.08498845265588914,-41.700406473214116,-7005.6682874999715
3,0.68,0.0003,0.0006,184,0,0.0,0.08498845265588914,-41.729608824404636,-7010.574282499979
3,0.68,0.0005,0.001,184,0,0.0,0.08498845265588914,-42.02218058035698,-7059.726337499973
3,0.68,0.0005,0.0006,184,0,0.0,0.08498845265588914,-42.54690462797605,-7147.879977499976
3,0.68,,,184,1,0.005434782608695652,0.08498845265588914,-43.48225215773794,-7305.018362499974
3,0.68,,0.001,184,0,0.0,0.08498845265588914,-43.804026264880804,-7359.076412499975
3,0.68,,0.0006,184,0,0.0,0.08498845265588914,-44.328750312499864,-7447.230052499977
3,0.66,0.0003,,346,2,0.005780346820809248,0.15981524249422632,-40.78960135382048,-12277.670007499964
3,0.66,0.0003,0.001,346,0,0.0,0.15981524249422632,-41.1528367358803,-12387.00385749997
3,0.66,0.0005,,346,2,0.005780346820809248,0.15981524249422632,-41.630261187707504,-12530.708617499959
3,0.66,0.0003,0.0006,346,0,0.0,0.15981524249422632,-41.72737955980057,-12559.94124749997
3,0.66,0.0005,0.001,346,0,0.0,0.15981524249422632,-41.99349656976733,-12640.042467499967
3,0.66,0.0005,0.0006,346,0,0.0,0.15981524249422632,-42.56803939368759,-12812.979857499966
3,0.66,,,346,2,0.005780346820809248,0.15981524249422632,-43.500937931893546,-13093.782317499958
3,0.66,,0.001,346,0,0.0,0.15981524249422632,-43.864173313953366,-13203.116167499964
3,0.66,,0.0006,346,0,0.0,0.15981524249422632,-44.438716137873634,-13376.053557499963
3,0.64,0.0003,,664,2,0.0030120481927710845,0.3066974595842956,-40.274929731182745,-22473.410789999973
3,0.64,0.0003,0.001,664,0,0.0,0.3066974595842956,-40.667010824372724,-22692.19203999998
3,0.64,0.0005,,664,2,0.0030120481927710845,0.3066974595842956,-41.11782305555548,-22943.74526499996
3,0.64,0.0003,0.0006,664,0,0.0,0.3066974595842956,-41.38668211469533,-23093.768619999995
3,0.64,0.0005,0.001,664,0,0.0,0.3066974595842956,-41.50990414874546,-23162.52651499997
3,0.64,0.0005,0.0006,664,0,0.0,0.3066974595842956,-42.229575439068064,-23564.10309499998
3,0.64,,,664,2,0.0030120481927710845,0.3066974595842956,-42.802098413978406,-23883.57091499995
3,0.64,,0.001,664,0,0.0,0.3066974595842956,-43.194179507168386,-24102.35216499996
3,0.64,,0.0006,664,0,0.0,0.3066974595842956,-43.91385079749098,-24503.92874499997
3,0.62,0.0003,,1373,2,0.0014566642388929353,0.6341801385681294,-39.950057660771684,-37273.40379749998
3,0.62,0.0003,0.001,1373,0,0.0,0.6341801385681294,-40.40177486334403,-37694.85594749998
3,0.62,0.0005,,1373,2,0.0014566642388929353,0.6341801385681294,-40.74999075294744,-38019.741372499964
3,0.62,0.0003,0.0006,1373,0,0.0,0.6341801385681294,-41.162251358520884,-38404.38051749999
3,0.62,0.0005,0.001,1373,0,0.0,0.6341801385681294,-41.20170795551979,-38441.19352249996
3,0.62,0.0005,0.0006,1373,0,0.0,0.6341801385681294,-41.962184450696654,-39150.71809249998
3,0.62,,,1373,2,0.0014566642388929353,0.6341801385681294,-42.4895718622722,-39642.77054749996
3,0.62,,0.001,1373,0,0.0,0.6341801385681294,-42.94128906484454,-40064.22269749996
3,0.62,,0.0006,1373,0,0.0,0.6341801385681294,-43.70176556002141,-40773.74726749997
3,0.6,0.0003,,3311,8,0.0024161884627000906,1.5293302540415705,-39.761594731417865,-63658.31316500001
3,0.6,0.0003,0.001,3311,0,0.0,1.5293302540415705,-40.32430975327921,-64559.21991500001
3,0.6,0.0005,,3311,8,0.0024161884627000906,1.5293302540415705,-40.58947176139911,-64983.74428999997
3,0.6,0.0003,0.0006,3311,0,0.0,1.5293302540415705,-41.13630095877578,-65859.21783500002
3,0.6,0.0005,0.001,3311,0,0.0,1.5293302540415705,-41.15218678326044,-65884.65103999997
3,0.6,0.0005,0.0006,3311,0,0.0,1.5293302540415705,-41.964177988757015,-67184.64895999998
3,0.6,,,3311,8,0.0024161884627000906,1.5293302540415705,-42.22077819487818,-67595.46588999996
